FCP ,TTI ,plt
676.00,3103.30,607.00
548.00,3178.00,482.80
564.00,3201.00,492.10
560.00,3104.70,488.70
712.00,3395.70,627.30
572.00,3152.60,496.40
564.00,3147.20,488.10
596.00,3137.00,525.10
564.00,3107.10,487.80
584.00,3334.70,506.10
564.00,3228.70,497.50
568.00,3132.60,494.00
656.00,3721.10,576.90
596.00,3911.90,513.50
588.00,3193.30,508.50
724.00,3713.20,630.90
592.00,3176.30,502.00
588.00,3160.00,506.80
568.00,3148.30,487.50
584.00,3185.40,498.70
568.00,3147.80,489.70
576.00,3224.30,494.40
708.00,3638.20,627.20
596.00,3211.90,515.30
552.00,3200.90,485.20
556.00,3212.80,487.50
564.00,3184.30,497.40
592.00,3153.10,516.20
608.00,3356.20,515.80
664.00,3975.00,582.20
624.00,3349.00,545.20
580.00,3242.70,511.30
564.00,3182.80,492.50
712.00,3576.20,643.00
584.00,3174.50,512.50
608.00,3130.60,501.90
580.00,3183.20,508.90
588.00,3198.10,511.60
576.00,3141.10,501.90
708.00,3473.30,624.50
664.00,3165.40,583.30
592.00,3270.00,512.80
576.00,3317.40,494.90
568.00,3174.10,484.90
608.00,3308.90,529.30
580.00,3234.80,506.50
580.00,3519.50,497.60
596.00,3187.40,517.40
648.00,3165.20,567.40
636.00,3196.30,561.80
592.00,3191.70,510.30
796.00,3289.30,708.60
576.00,3123.70,498.20
580.00,3221.60,499.30
572.00,3194.00,491.50
580.00,3147.70,503.50
584.00,3183.70,516.20
576.00,3123.80,506.60
584.00,3197.40,512.20
664.00,4006.70,585.80
652.00,3256.10,579.80
564.00,3244.40,490.60
564.00,3117.20,485.90
556.00,3125.80,482.20
556.00,3442.40,485.50
580.00,3546.90,511.80
584.00,3632.10,502.50
664.00,3272.80,590.50
656.00,3474.70,568.00
596.00,3245.90,515.00
740.00,3958.70,655.40
648.00,3633.30,582.20
632.00,3572.60,561.10
696.00,3286.70,620.40
584.00,3211.40,513.40
612.00,3405.20,539.00
676.00,3875.90,601.60
636.00,3369.40,553.40
616.00,3238.40,539.50
560.00,3177.90,488.30
564.00,3262.40,489.10
608.00,3288.80,499.00
604.00,3286.20,527.50
572.00,3357.70,492.50
572.00,3272.20,496.20
576.00,3253.90,497.60
700.00,4061.10,615.00
580.00,3199.50,507.80
600.00,3246.20,523.60
568.00,3200.00,487.20
632.00,3295.60,553.10
720.00,3884.70,556.90
596.00,3203.60,522.10
584.00,3336.40,505.90
584.00,3339.30,506.30
612.00,3218.00,524.50
628.00,3233.70,550.80
600.00,3246.30,514.60
644.00,3463.00,570.40
596.00,3210.40,522.50
612.00,3485.90,528.60
576.00,3247.50,497.30
716.00,3756.50,629.10
576.00,3249.90,509.10
572.00,3248.40,502.50
608.00,3245.60,538.00
580.00,3186.20,510.80
608.00,3197.00,535.40
652.00,3260.10,576.60
572.00,3743.50,493.90
636.00,3167.00,562.50
616.00,3128.00,536.20
572.00,3200.30,502.10
684.00,3211.50,598.00
564.00,3323.30,493.70
696.00,3551.60,611.50
584.00,3475.80,504.30
588.00,3968.80,502.30
568.00,3198.40,497.60
572.00,3137.20,493.10
560.00,3120.00,495.90
580.00,3127.00,500.50
560.00,3577.60,491.00
596.00,3345.30,521.90
584.00,3366.60,512.70
564.00,3097.70,488.90
568.00,3133.60,489.60
668.00,3492.60,603.60
616.00,3070.80,537.00
560.00,3109.10,486.00
592.00,3181.50,507.80
576.00,3134.70,494.30
576.00,3349.90,506.30
620.00,3127.30,543.10
568.00,3158.10,490.70
556.00,3122.20,483.10
716.00,3585.90,623.70
560.00,3495.90,494.40
676.00,3668.20,603.90
584.00,3135.40,507.20
580.00,3081.60,501.30
564.00,3159.60,490.00
556.00,3130.70,485.00
600.00,3199.70,517.20
572.00,3183.60,503.30
568.00,3078.70,493.40
596.00,3487.80,525.50
660.00,3576.20,497.60
588.00,3173.30,507.90
568.00,3142.30,496.30
564.00,3161.90,484.90
576.00,3158.20,494.60
560.00,3101.90,492.70
592.00,3217.90,512.20
592.00,3256.40,515.00
584.00,3352.00,499.50
572.00,3139.50,501.80
584.00,3435.50,509.20
580.00,3213.80,500.10
576.00,3190.20,499.80
580.00,3188.70,501.10
580.00,3562.60,505.90
664.00,3778.30,585.70
600.00,3714.20,524.20
584.00,3182.00,505.80
596.00,3195.20,498.10
592.00,3323.10,512.30
572.00,3264.40,500.20
612.00,3270.60,543.20
620.00,3186.80,535.10
588.00,3347.60,514.50
560.00,3318.80,487.00
580.00,3121.40,507.50
580.00,3230.40,504.40
556.00,3456.50,492.30
624.00,3695.90,533.80
604.00,3810.70,526.90
652.00,3424.60,570.30
656.00,3221.80,553.50
568.00,3307.20,501.50
580.00,3128.50,497.10
608.00,3127.00,541.50
556.00,3103.40,487.60
556.00,3134.70,488.90
572.00,3156.40,498.00
600.00,3207.40,510.50
588.00,3114.20,511.90
564.00,3439.40,493.40
580.00,3438.90,510.80
576.00,3437.90,510.20
600.00,3048.80,530.40
696.00,3482.00,599.40
576.00,3507.20,501.70
560.00,3142.20,482.20
596.00,3177.70,515.50
628.00,3103.90,548.10
584.00,3141.40,516.00
576.00,3104.30,503.10
608.00,3163.10,524.50
556.00,3411.30,486.10
584.00,3501.40,503.70
576.00,3138.00,508.80
572.00,3605.40,501.90
604.00,3248.90,524.90
588.00,3175.90,510.90
596.00,3227.70,515.00
580.00,3598.20,503.60
608.00,3578.60,529.90
584.00,3169.60,500.30
600.00,3189.90,520.10
624.00,3172.00,543.30
592.00,3602.70,513.00
604.00,3478.50,524.00
616.00,3400.30,542.90
580.00,3126.70,499.80
696.00,3553.40,615.10
664.00,3424.00,589.00
592.00,3181.10,514.10
600.00,3197.70,520.80
604.00,3138.20,523.10
592.00,3268.90,518.10
584.00,3260.30,515.30
580.00,3108.70,500.70
620.00,3279.70,533.00
572.00,3125.00,503.20
600.00,3082.40,520.30
560.00,3317.30,489.50
588.00,3196.00,509.80
580.00,3545.40,507.00
580.00,3521.10,510.80
576.00,3219.40,503.00
588.00,3216.30,503.80
688.00,3169.60,614.20
580.00,3568.70,505.00
584.00,3736.10,512.40
584.00,3580.40,503.50
600.00,3224.00,520.40
584.00,3304.40,510.00
880.00,3810.60,797.20
604.00,3184.70,527.40
564.00,3198.10,490.10
572.00,3198.10,494.00
564.00,3188.50,492.60
564.00,3109.80,485.70
568.00,3246.30,490.00
568.00,3095.80,488.40
588.00,3458.00,517.40
592.00,3268.10,523.20
576.00,3205.40,489.60
768.00,3223.20,673.60
