FCP ,TTI ,plt
596.00,3915.80,509.80
592.00,3703.80,523.20
588.00,3713.10,509.70
576.00,3642.10,503.40
612.00,3624.30,525.50
592.00,3686.10,508.50
568.00,3631.30,486.90
576.00,3644.50,501.70
580.00,4100.50,494.20
580.00,4119.80,506.00
588.00,3633.40,498.20
584.00,3630.90,498.70
688.00,3990.40,598.40
568.00,4042.40,495.90
576.00,3650.50,499.40
564.00,3557.30,485.90
576.00,4501.10,493.70
560.00,3532.80,477.00
596.00,3679.60,518.60
572.00,3727.60,497.60
588.00,3722.40,503.00
580.00,3740.90,509.30
624.00,4070.30,553.20
576.00,3633.70,497.70
592.00,3946.40,510.50
636.00,3576.80,554.10
592.00,3842.20,502.70
580.00,3636.10,510.80
672.00,3595.70,516.60
608.00,3586.70,524.80
592.00,3636.10,506.80
560.00,4017.80,488.10
584.00,3543.00,504.80
608.00,3627.90,537.00
588.00,3567.40,515.50
600.00,3623.60,514.50
580.00,4034.70,509.50
672.00,3552.90,586.80
636.00,3706.70,545.00
556.00,4082.70,490.70
660.00,3830.40,571.50
576.00,3853.40,506.50
580.00,3632.60,505.30
588.00,3659.60,513.50
624.00,3696.10,520.50
616.00,3761.20,528.00
592.00,3598.00,516.60
608.00,3706.30,528.00
584.00,3584.80,509.00
580.00,3635.30,504.40
584.00,3665.40,513.30
564.00,3548.40,493.50
596.00,3565.90,524.50
732.00,4145.90,655.10
596.00,3650.30,513.80
584.00,3675.20,507.70
576.00,3619.10,498.20
556.00,3542.30,486.10
596.00,3763.70,521.90
560.00,3697.20,485.20
564.00,4252.90,492.60
616.00,3125.20,534.40
560.00,3570.90,491.50
612.00,3636.40,537.10
572.00,3568.70,498.80
564.00,3538.50,494.40
600.00,3837.20,515.10
568.00,3451.50,494.60
576.00,4768.70,503.40
568.00,3596.60,498.80
776.00,3999.20,692.40
588.00,3639.00,499.70
600.00,3151.30,523.70
600.00,3707.80,510.80
572.00,3622.20,498.60
584.00,3631.70,507.70
608.00,3616.00,522.60
576.00,3642.50,507.80
576.00,3575.70,494.80
