FCP ,TTI ,plt
568.00,3171.30,494.80
536.00,3129.20,471.30
620.00,3173.10,546.00
592.00,3268.60,519.60
584.00,3167.50,507.10
532.00,3141.80,467.50
664.00,3287.40,592.00
564.00,3177.40,487.80
540.00,3112.80,476.30
588.00,3205.10,507.20
920.00,3151.20,784.00
564.00,3165.40,489.10
556.00,3174.50,491.50
668.00,3619.20,602.30
560.00,3556.60,486.60
560.00,3199.30,496.40
572.00,3229.00,506.50
564.00,3216.70,499.70
568.00,3274.00,495.80
596.00,3161.70,523.80
536.00,3196.90,465.30
560.00,3284.30,483.50
560.00,3181.60,482.30
556.00,3147.10,480.40
568.00,3168.30,497.70
552.00,3176.70,482.10
540.00,3171.40,475.90
664.00,3212.60,596.60
564.00,3321.90,501.20
592.00,3167.80,517.10
564.00,3172.50,502.10
572.00,3128.70,498.70
696.00,3610.60,621.20
568.00,3438.70,493.20
548.00,3317.00,486.60
564.00,3405.60,496.50
760.00,3577.40,668.60
556.00,3252.00,478.70
568.00,3574.60,495.60
572.00,3225.70,502.80
600.00,3211.20,534.40
564.00,3269.00,491.00
544.00,3306.20,475.50
544.00,3199.90,478.60
560.00,3188.10,492.20
656.00,3555.70,583.20
544.00,3188.90,483.20
556.00,3413.10,478.50
556.00,3564.00,484.20
580.00,3213.40,509.30
564.00,3279.70,491.10
592.00,3648.00,530.20
596.00,3193.70,519.60
576.00,3268.10,500.00
588.00,3193.30,520.60
548.00,3254.40,483.60
552.00,3139.00,478.80
536.00,3202.80,474.00
548.00,3193.00,471.50
544.00,3152.60,477.80
552.00,3157.50,491.10
580.00,3361.30,510.50
556.00,3309.90,492.10
560.00,3253.90,484.80
532.00,3351.70,473.70
564.00,3172.00,484.60
648.00,3500.70,567.80
552.00,3208.70,486.90
564.00,3268.80,481.20
552.00,3281.90,478.30
568.00,3229.50,491.10
576.00,3250.80,512.10
592.00,3179.70,516.00
612.00,3203.10,533.10
548.00,3277.60,480.40
548.00,3175.90,482.50
540.00,3161.00,470.90
540.00,3121.90,475.30
552.00,3105.40,480.70
560.00,3198.50,490.20
560.00,3135.50,494.10
588.00,3326.20,515.70
568.00,3145.20,497.40
576.00,3220.30,498.00
564.00,3226.30,492.90
544.00,3484.30,475.60
560.00,3165.60,499.50
564.00,3176.40,498.80
548.00,3129.00,478.70
780.00,3450.10,687.80
568.00,3209.40,499.20
584.00,3192.50,518.00
584.00,3186.60,509.80
556.00,3209.40,487.50
692.00,3182.60,611.30
576.00,3242.60,503.40
548.00,3491.80,481.00
560.00,3162.10,485.00
640.00,3348.70,568.20
556.00,3305.00,491.40
588.00,3362.90,506.40
548.00,3183.90,481.00
544.00,3106.30,475.70
552.00,3206.20,478.20
596.00,3208.80,521.50
548.00,3308.00,479.60
576.00,3187.40,495.50
564.00,3233.80,499.00
548.00,3151.70,478.60
568.00,3178.90,490.00
576.00,3172.50,500.00
568.00,3193.60,490.30
576.00,3172.80,499.50
548.00,3111.70,479.00
568.00,3244.40,495.30
564.00,3202.70,492.90
540.00,3184.40,466.40
532.00,3332.40,470.00
540.00,3124.80,474.00
552.00,3180.00,486.20
544.00,3138.60,476.20
568.00,3364.00,493.80
576.00,3136.30,497.60
556.00,3175.20,482.60
560.00,3137.00,493.40
604.00,3259.50,532.90
560.00,3220.80,483.20
712.00,3206.80,636.60
620.00,3146.60,542.80
560.00,3230.70,488.90
608.00,3309.60,528.20
600.00,3244.70,516.40
768.00,3174.00,695.90
556.00,3306.50,494.20
572.00,3182.60,500.90
588.00,3294.60,512.20
576.00,3250.00,508.60
576.00,3164.40,499.10
556.00,3138.70,490.40
604.00,3155.60,526.20
552.00,3175.70,485.20
580.00,3262.00,500.30
552.00,3268.40,478.00
552.00,3222.90,471.20
556.00,3135.20,487.60
556.00,3170.50,481.00
544.00,3193.80,471.00
556.00,3122.80,485.80
548.00,3150.40,478.00
568.00,3127.00,489.90
656.00,3652.60,585.70
584.00,3246.20,511.60
580.00,3133.50,514.90
568.00,3203.20,499.00
540.00,3231.10,473.20
556.00,3230.00,488.60
596.00,3179.00,520.00
616.00,3680.10,527.00
560.00,3144.70,493.40
688.00,3532.60,512.90
568.00,3211.40,501.30
556.00,3118.50,484.30
552.00,3319.40,476.00
548.00,3709.40,471.90
564.00,3133.10,494.20
612.00,3265.10,509.30
564.00,3155.90,492.40
556.00,3167.30,478.90
564.00,3178.50,492.40
620.00,3381.20,555.50
544.00,3218.10,476.70
612.00,3384.10,518.30
552.00,3252.00,485.30
592.00,3249.00,516.10
584.00,3268.90,513.90
752.00,3918.80,663.10
620.00,3221.50,536.20
584.00,3185.20,501.90
580.00,3152.60,507.30
592.00,3372.20,512.60
552.00,3198.80,480.00
532.00,3266.70,470.40
560.00,3142.40,482.10
560.00,3183.50,486.10
572.00,3461.70,496.50
560.00,3236.30,489.80
560.00,3170.00,483.00
548.00,3204.30,478.80
548.00,3154.50,479.40
580.00,3159.50,502.60
568.00,3197.80,488.00
596.00,3140.00,521.10
572.00,3281.70,502.80
536.00,3144.80,471.60
576.00,3403.10,495.30
564.00,3168.90,499.50
568.00,3242.10,497.80
624.00,3166.60,538.80
556.00,3192.80,484.80
612.00,3252.90,524.30
564.00,3102.10,491.30
568.00,3259.40,492.80
552.00,3139.00,484.70
