FCP ,TTI ,plt
580.00,3205.10,508.50
600.00,3455.00,521.80
600.00,2989.90,520.70
552.00,3056.80,474.40
612.00,3135.30,533.60
604.00,3095.20,521.80
588.00,3152.60,512.90
604.00,3235.20,522.10
656.00,3401.50,588.50
568.00,3050.10,501.30
552.00,3054.00,487.20
560.00,3194.60,488.80
572.00,3023.90,492.10
564.00,3408.50,492.60
584.00,3001.00,508.10
536.00,3022.90,471.60
544.00,3027.40,474.00
552.00,3048.90,484.00
552.00,3257.10,485.00
556.00,3103.00,488.80
556.00,2993.70,478.20
560.00,3045.30,485.70
556.00,3038.60,489.80
568.00,3048.30,489.80
556.00,3216.90,477.30
588.00,3006.40,512.30
564.00,3088.20,490.20
552.00,3066.10,479.20
568.00,3008.50,488.80
560.00,3045.10,483.10
536.00,2992.60,473.20
556.00,3056.30,487.20
564.00,3200.00,484.60
560.00,3249.50,486.20
556.00,3314.20,479.00
580.00,3045.10,501.90
548.00,3036.10,475.30
556.00,3194.00,488.00
564.00,3073.00,487.80
576.00,3075.40,497.10
564.00,3095.60,493.80
560.00,3055.20,478.60
556.00,3227.70,492.20
560.00,3047.40,477.10
572.00,3083.00,499.80
560.00,3392.50,487.10
560.00,3099.30,485.50
576.00,3159.10,498.80
588.00,3100.30,516.60
556.00,3565.60,483.90
588.00,3077.00,512.10
552.00,3095.80,480.70
556.00,3139.50,481.10
564.00,3166.80,491.30
572.00,3104.30,505.70
580.00,3112.60,508.90
560.00,3171.00,493.90
556.00,3101.80,477.30
540.00,3188.00,475.30
548.00,3147.20,482.60
560.00,3068.80,486.50
540.00,3132.00,472.50
740.00,3118.70,646.70
572.00,3094.00,507.60
540.00,3066.70,475.70
568.00,3091.10,494.00
540.00,3073.70,478.50
568.00,3056.60,499.00
572.00,3116.10,493.60
560.00,3059.10,486.60
564.00,3153.30,497.00
564.00,3159.20,489.10
556.00,3142.60,489.50
556.00,3107.30,481.40
564.00,3206.00,482.00
548.00,3103.00,482.10
564.00,3109.00,489.80
544.00,3083.80,479.20
584.00,3083.50,512.90
544.00,3138.40,472.10
540.00,3076.20,466.40
576.00,3096.40,497.40
560.00,3097.90,495.60
564.00,3161.20,493.80
564.00,3374.50,490.60
584.00,3447.20,508.80
548.00,3125.80,478.20
556.00,3140.00,486.10
572.00,3157.30,499.70
556.00,3140.70,484.80
588.00,3425.80,507.90
564.00,3143.10,492.00
576.00,3114.10,503.60
576.00,3077.80,506.50
576.00,3170.90,499.40
564.00,3086.90,482.10
556.00,3076.70,475.30
556.00,3430.70,486.80
552.00,3057.30,483.10
548.00,3112.80,475.00
560.00,3093.30,494.90
