FCP ,TTI ,plt
1644.00,3392.80,1564.30
1600.00,3379.40,1535.00
1624.00,3481.50,1559.70
1600.00,3367.20,1531.40
1596.00,3465.30,1523.70
1636.00,3279.60,1562.20
1628.00,3382.60,1555.50
1588.00,3408.10,1525.80
1624.00,3413.40,1550.70
1600.00,3702.30,1535.20
1612.00,3373.20,1542.30
1620.00,3316.60,1554.80
1644.00,3406.10,1572.70
1632.00,3352.20,1559.50
1608.00,3329.10,1543.40
1612.00,3294.10,1540.30
1624.00,3326.40,1561.20
1644.00,3291.10,1574.90
1608.00,3310.50,1541.40
1624.00,3349.60,1545.80
1608.00,3302.00,1544.00
1640.00,3581.60,1571.60
1624.00,3268.50,1545.10
1600.00,3303.80,1538.00
1624.00,3362.40,1551.70
1624.00,3341.30,1549.00
1640.00,3300.10,1566.10
1620.00,3492.90,1549.00
1624.00,3430.90,1549.60
1636.00,3381.50,1564.60
1632.00,3399.60,1559.10
1616.00,3418.90,1544.20
1616.00,3300.50,1543.60
1640.00,3360.40,1565.20
1628.00,3402.60,1556.90
1636.00,3367.50,1559.60
1612.00,3412.30,1547.10
1640.00,3340.30,1563.70
1624.00,3353.30,1548.00
1628.00,3313.40,1561.50
1596.00,3520.20,1530.30
1628.00,3369.90,1566.90
1612.00,3381.80,1544.40
1612.00,3357.80,1544.00
1612.00,3357.30,1536.80
1616.00,3368.30,1548.60
1636.00,3536.10,1566.70
1612.00,3641.70,1544.40
1632.00,3409.80,1566.80
1612.00,3483.40,1536.40
1628.00,3369.60,1551.90
1600.00,3334.70,1538.30
1612.00,3483.90,1534.60
1644.00,3373.70,1568.70
1612.00,3324.40,1548.80
1616.00,3358.70,1540.80
1628.00,3386.20,1563.90
1608.00,3353.00,1538.60
1640.00,3389.80,1568.30
1612.00,3373.70,1536.30
1608.00,3516.80,1544.30
1628.00,3318.60,1565.80
1600.00,3358.30,1533.60
1660.00,3348.30,1587.30
1628.00,3369.80,1548.00
1620.00,3395.80,1553.30
1640.00,3377.00,1561.90
1628.00,3441.80,1549.40
1648.00,3445.30,1573.50
1628.00,3437.20,1566.30
1636.00,3385.70,1563.10
1632.00,3387.20,1557.30
1640.00,3444.30,1566.70
1620.00,3374.70,1549.00
1616.00,3388.80,1541.30
1640.00,3387.60,1568.10
1624.00,3365.70,1550.50
1640.00,3391.00,1571.20
1652.00,3695.70,1584.20
1660.00,3391.70,1584.10
1632.00,3466.30,1558.50
1680.00,3362.30,1605.50
1628.00,3411.60,1548.10
1628.00,3320.80,1547.90
1636.00,3391.50,1566.80
1636.00,3388.60,1573.50
1620.00,3363.20,1543.30
1640.00,3399.00,1563.90
1632.00,3722.80,1551.80
1652.00,3394.10,1577.10
1628.00,3439.30,1557.30
1636.00,3402.00,1562.60
1664.00,3399.70,1589.80
1720.00,3423.80,1640.10
1636.00,3515.50,1543.40
1624.00,3346.70,1557.60
1628.00,3365.90,1556.00
1628.00,3363.30,1551.20
1604.00,3373.80,1537.50
1648.00,3355.30,1581.70
1648.00,3356.40,1576.10
1628.00,3366.70,1554.50
1636.00,3393.30,1556.50
1620.00,3386.30,1550.70
1640.00,3302.50,1567.20
1612.00,3346.60,1539.90
1612.00,3381.90,1550.30
1644.00,3392.90,1568.70
1628.00,3493.00,1551.80
1616.00,3376.10,1548.40
1608.00,3325.90,1545.50
1620.00,3325.60,1554.70
1624.00,3338.50,1546.90
1624.00,3329.00,1556.10
1628.00,3344.70,1548.70
1632.00,3365.70,1558.80
1632.00,3457.20,1557.70
1632.00,3459.30,1559.20
1604.00,3396.20,1540.20
1604.00,3382.30,1535.80
