FCP ,TTI ,plt
628.00,3582.90,594.80
564.00,3992.40,537.70
544.00,3512.70,520.10
544.00,3761.30,511.80
636.00,3827.20,606.20
540.00,3559.50,509.90
544.00,3573.00,515.40
564.00,3565.60,537.90
572.00,3639.30,543.10
704.00,3526.40,668.00
528.00,3596.70,505.10
556.00,3643.90,540.60
520.00,3619.40,494.80
564.00,3500.20,540.10
520.00,3608.70,498.60
528.00,3597.20,500.70
536.00,3587.60,504.90
528.00,3678.80,506.20
512.00,3520.90,482.10
544.00,3466.90,507.00
552.00,3429.50,517.10
628.00,3513.40,595.70
516.00,3512.00,491.70
540.00,3492.00,515.30
524.00,3563.70,507.50
516.00,3632.50,487.80
528.00,3474.60,506.60
504.00,3491.00,480.90
508.00,3395.90,489.50
512.00,3360.50,480.40
604.00,3425.70,566.50
524.00,3509.50,487.90
524.00,3463.00,498.50
492.00,3484.50,475.80
492.00,3349.80,471.20
536.00,3454.70,513.50
528.00,3446.60,503.50
508.00,3482.30,481.90
520.00,3431.30,498.60
492.00,3456.90,473.30
516.00,3533.10,489.30
728.00,3450.50,688.10
524.00,3390.40,488.20
548.00,3461.50,519.70
500.00,3899.90,479.40
524.00,3499.30,490.50
524.00,3445.30,488.20
528.00,3701.50,498.10
552.00,3558.50,520.20
548.00,3496.10,516.30
548.00,3474.20,513.20
616.00,3619.60,583.30
552.00,3652.40,525.10
524.00,3512.40,500.40
540.00,3513.20,509.80
520.00,3506.30,499.50
572.00,3499.90,537.00
540.00,3585.40,512.70
604.00,3821.50,572.50
532.00,3535.80,505.90
552.00,3554.90,524.50
528.00,3569.90,500.70
532.00,3581.60,501.80
592.00,3547.20,561.30
524.00,3771.90,497.40
512.00,3475.80,491.50
520.00,3787.70,491.00
752.00,3522.00,711.50
528.00,3578.60,500.50
564.00,3505.60,531.80
536.00,3552.20,509.40
544.00,3514.90,509.90
512.00,3520.90,495.30
712.00,3545.00,673.60
524.00,3515.00,494.70
536.00,3510.80,512.10
520.00,3522.30,502.80
512.00,3540.80,488.60
544.00,3615.90,522.00
644.00,4000.50,620.30
520.00,3743.10,500.40
532.00,3512.00,503.10
628.00,3720.70,597.50
520.00,3666.00,495.60
588.00,3615.00,557.70
516.00,3536.60,495.70
516.00,3677.90,492.30
520.00,3647.20,498.70
524.00,3610.70,497.90
520.00,3740.10,496.70
688.00,3691.30,651.70
608.00,3494.80,570.00
548.00,3510.40,519.20
572.00,3613.90,536.80
532.00,3674.70,501.60
648.00,4007.50,620.80
592.00,3530.30,557.00
528.00,3551.40,508.30
508.00,3494.40,480.20
544.00,3449.40,514.40
704.00,3600.60,672.20
528.00,3488.90,499.40
520.00,3456.90,488.50
520.00,3528.20,492.70
520.00,3458.80,495.30
652.00,3634.90,620.70
516.00,3502.60,492.60
524.00,3440.60,503.60
528.00,3509.20,483.90
528.00,3451.90,502.80
516.00,3452.80,485.40
604.00,3521.50,582.60
704.00,3886.10,668.90
536.00,3547.40,509.50
544.00,3463.70,514.20
536.00,3500.60,500.00
516.00,3501.70,489.80
632.00,3570.50,598.80
548.00,3537.80,519.10
628.00,3697.90,596.40
536.00,3577.30,515.00
552.00,3544.80,520.50
528.00,3604.10,492.60
532.00,3591.60,514.60
544.00,3507.40,520.10
548.00,3520.40,520.80
612.00,3517.50,563.80
540.00,3443.50,507.00
556.00,3536.60,526.30
584.00,3588.40,525.00
508.00,3516.20,489.40
512.00,3691.50,490.50
528.00,3545.90,508.20
520.00,3512.10,488.20
504.00,3524.10,483.90
728.00,3715.70,690.80
532.00,3684.20,498.90
520.00,3655.00,497.30
548.00,3557.10,510.90
716.00,3602.00,680.70
524.00,3581.10,509.00
544.00,3620.30,522.50
588.00,3822.60,550.60
584.00,3643.00,554.50
544.00,3560.60,510.30
544.00,3700.80,522.20
572.00,3558.90,541.10
572.00,3671.50,543.30
516.00,3640.20,493.80
672.00,3806.30,640.60
560.00,3598.10,523.70
540.00,3596.20,508.60
520.00,3615.40,494.50
520.00,3534.20,490.70
552.00,3567.20,516.20
540.00,3550.90,510.50
520.00,3607.70,501.00
548.00,3649.00,527.30
524.00,3579.30,491.20
532.00,3522.10,504.80
536.00,3646.30,505.50
544.00,3628.90,512.90
532.00,3560.20,507.70
520.00,3541.00,498.20
520.00,3618.50,495.40
540.00,3564.70,513.20
528.00,3627.60,492.90
520.00,3533.90,495.10
536.00,3932.20,513.90
524.00,3486.80,488.60
540.00,3503.60,511.70
716.00,3891.60,682.00
520.00,3605.10,499.30
584.00,3549.50,548.10
520.00,3453.40,496.10
524.00,3487.10,495.60
512.00,3418.50,489.70
540.00,3476.70,512.20
516.00,3492.50,489.40
524.00,3483.80,495.50
528.00,3440.70,505.50
596.00,3702.30,569.50
520.00,3825.90,499.30
540.00,3638.20,517.00
616.00,3596.30,592.30
524.00,3445.50,500.30
528.00,3415.30,495.70
536.00,3652.10,508.10
528.00,3556.20,502.10
576.00,3602.50,533.30
532.00,3519.70,511.20
528.00,3997.80,504.90
528.00,3529.30,507.00
600.00,3872.80,573.70
524.00,3517.70,503.50
568.00,3566.20,537.00
524.00,3540.40,497.50
544.00,3734.30,511.60
532.00,3561.60,497.70
524.00,3539.50,504.20
528.00,3705.60,499.70
508.00,3541.40,486.90
668.00,3573.70,631.70
524.00,3573.50,491.90
520.00,3548.80,498.70
512.00,3519.40,491.50
524.00,3492.10,493.60
528.00,3535.60,508.50
524.00,3578.30,503.30
536.00,3528.10,506.60
528.00,3565.30,508.10
512.00,3586.80,483.50
528.00,3536.50,496.50
528.00,3499.60,500.00
608.00,3578.30,579.20
528.00,3511.10,500.60
528.00,3592.40,509.30
556.00,3599.60,527.00
508.00,3564.70,482.70
532.00,3541.30,507.70
584.00,3560.20,550.70
512.00,3590.20,492.40
520.00,3601.80,488.30
524.00,3536.70,499.00
720.00,3601.40,681.30
520.00,3624.20,495.30
524.00,3644.20,509.30
532.00,3575.30,513.20
572.00,3552.30,549.60
536.00,3596.10,507.00
540.00,3520.90,507.20
592.00,3782.50,560.40
524.00,3554.80,497.00
536.00,3651.20,511.40
536.00,3521.00,503.40
512.00,3558.50,487.60
520.00,3543.40,490.30
520.00,3447.90,495.60
520.00,3448.60,489.40
516.00,3463.60,489.60
520.00,3516.60,487.10
540.00,3503.80,508.20
500.00,3491.10,484.20
516.00,3422.60,493.10
536.00,3422.20,508.70
652.00,3496.90,625.20
516.00,3446.60,493.00
508.00,3489.20,478.80
512.00,3449.20,489.50
532.00,3481.70,510.40
