FCP ,TTI ,plt
1552.00,3079.20,1523.10
1552.00,3329.70,1533.80
1568.00,3255.80,1542.30
1592.00,3150.50,1559.50
1584.00,3254.00,1558.60
1576.00,3259.40,1553.50
1748.00,3670.80,1716.40
1880.00,3604.30,1840.00
1668.00,3347.90,1634.10
1580.00,3098.80,1558.90
1620.00,3351.10,1570.00
1588.00,3222.70,1561.50
1548.00,2971.00,1529.00
1640.00,3333.80,1616.00
1600.00,3223.60,1568.80
1560.00,3237.80,1532.70
1576.00,3246.50,1545.70
1556.00,3415.60,1539.80
1704.00,3238.40,1668.60
1576.00,3644.30,1545.50
1568.00,3211.30,1537.60
1552.00,3256.70,1535.00
1592.00,3264.70,1562.00
1616.00,3310.10,1590.20
1588.00,3292.80,1559.00
1568.00,3304.60,1536.60
1592.00,3264.90,1565.10
1608.00,3229.80,1579.10
1564.00,3301.40,1543.30
1600.00,3290.90,1569.60
1584.00,3328.40,1562.30
1560.00,3305.50,1536.00
1600.00,3448.20,1572.30
1564.00,3279.20,1538.30
1568.00,3379.60,1538.20
1564.00,3273.30,1539.80
1588.00,3273.90,1557.00
1564.00,3272.70,1535.70
1584.00,3303.50,1554.70
1560.00,3437.20,1538.10
1584.00,3297.50,1558.80
1608.00,3331.00,1573.40
1568.00,3268.10,1538.40
1576.00,3320.50,1552.20
1576.00,3288.00,1554.60
1584.00,3272.80,1548.70
1596.00,3315.10,1574.20
1548.00,3319.90,1533.70
1584.00,3303.80,1549.40
1608.00,3303.20,1578.50
1576.00,3347.40,1546.30
1564.00,3300.20,1539.30
1604.00,3300.30,1568.80
1548.00,3349.20,1526.30
1608.00,3286.00,1579.90
1672.00,3313.00,1639.70
1560.00,3249.20,1538.40
1572.00,3289.80,1552.20
1560.00,3384.80,1544.60
1576.00,3631.20,1554.50
1576.00,3235.40,1545.70
1596.00,3364.40,1574.70
1620.00,3765.60,1601.10
1600.00,3236.80,1567.30
1600.00,3238.40,1569.60
1716.00,3245.00,1666.00
1580.00,3138.90,1546.50
1588.00,3324.40,1557.30
1552.00,3324.10,1537.00
1600.00,3311.30,1583.10
1580.00,3239.40,1550.50
1576.00,3249.40,1551.80
1584.00,3175.30,1551.00
1576.00,3244.20,1551.50
1580.00,3309.30,1547.40
1604.00,3468.10,1575.50
1552.00,3538.70,1533.50
1568.00,3378.80,1546.10
1636.00,3191.10,1604.80
1564.00,3250.90,1542.30
1608.00,3674.30,1580.80
1616.00,3256.00,1581.50
1568.00,3277.20,1541.00
1572.00,3262.90,1549.10
1560.00,3274.40,1540.00
1596.00,3235.00,1566.20
1580.00,3280.20,1555.30
1592.00,3210.90,1560.50
1608.00,3292.90,1582.30
1568.00,3265.60,1541.20
1600.00,3281.50,1570.40
1584.00,3231.00,1552.60
1608.00,3279.20,1588.50
1604.00,3195.90,1579.00
1592.00,3236.80,1554.90
1560.00,3230.40,1541.30
1596.00,3262.10,1575.00
1568.00,3257.70,1541.00
1588.00,3278.80,1567.10
1576.00,3270.90,1552.40
1568.00,3406.00,1538.10
1580.00,3330.90,1559.70
1584.00,3270.80,1559.40
1580.00,3239.50,1556.20
1568.00,3242.50,1536.30
1560.00,3240.20,1540.00
1576.00,3242.40,1559.00
1588.00,3276.00,1564.60
1580.00,3334.00,1554.90
1656.00,3444.20,1620.80
1620.00,3298.20,1597.60
1604.00,3325.20,1569.30
1604.00,3350.00,1579.70
1584.00,3409.90,1557.60
1600.00,3205.20,1571.30
1568.00,3276.40,1541.40
1608.00,3251.00,1572.40
1604.00,3284.70,1574.90
1580.00,3275.50,1551.00
1576.00,3266.40,1543.70
1572.00,3289.00,1539.80
1596.00,3254.80,1558.60
1588.00,3275.80,1564.30
1560.00,3353.30,1537.70
1616.00,3318.00,1595.80
1560.00,3364.00,1540.00
1596.00,3253.30,1571.00
1564.00,3287.90,1541.20
1576.00,3346.30,1558.60
1608.00,3330.90,1578.10
1592.00,3252.40,1566.80
1576.00,3402.10,1548.50
1572.00,3309.30,1547.10
1592.00,3304.40,1564.20
1592.00,3286.60,1557.40
1596.00,3401.90,1566.30
1580.00,3326.20,1542.50
1576.00,3254.20,1555.50
1600.00,3335.50,1564.80
1612.00,3412.50,1591.00
1592.00,3282.80,1565.50
1544.00,3249.80,1521.50
1580.00,3380.60,1555.30
1756.00,3456.30,1709.20
1608.00,3333.10,1570.10
1584.00,3295.30,1561.10
1576.00,3280.90,1553.50
1584.00,3211.50,1549.30
1580.00,3309.00,1559.70
1596.00,3267.40,1567.90
1580.00,3247.90,1555.70
1576.00,3250.80,1550.40
1624.00,3255.50,1602.30
1568.00,3254.50,1542.20
1572.00,3284.00,1550.50
1568.00,3434.20,1545.10
1640.00,3258.90,1622.80
1564.00,3280.80,1531.80
1584.00,3236.60,1550.60
1612.00,3199.80,1587.90
1584.00,3305.20,1563.20
1568.00,3284.20,1548.90
1604.00,3287.30,1568.40
1580.00,3318.40,1557.80
1628.00,3314.60,1601.40
1596.00,3290.50,1561.10
1592.00,3461.00,1564.30
1612.00,3272.50,1592.10
1568.00,3325.10,1535.80
1600.00,3316.20,1568.30
1588.00,3229.50,1557.80
1560.00,3343.90,1547.20
1604.00,3232.90,1577.60
1600.00,3208.10,1579.60
1596.00,3303.90,1573.10
1596.00,3167.60,1558.10
1580.00,3365.90,1564.00
1580.00,3396.10,1554.60
1612.00,3232.70,1590.00
1620.00,3370.60,1586.40
1580.00,3382.40,1549.20
1660.00,3301.20,1627.60
1572.00,3211.10,1547.80
1592.00,3278.10,1575.00
1620.00,3394.30,1595.80
1632.00,3220.60,1596.50
1580.00,3260.00,1556.50
1612.00,3296.40,1577.70
1596.00,3252.40,1568.00
1572.00,3537.00,1553.30
1596.00,3457.70,1571.10
1608.00,3593.30,1574.60
1556.00,3229.30,1534.40
1564.00,3326.50,1541.40
1620.00,3305.40,1599.70
1588.00,3317.10,1572.90
1580.00,3212.80,1549.80
1584.00,3471.60,1552.50
1588.00,3211.50,1564.40
1604.00,3266.50,1581.40
1600.00,3421.40,1579.00
1588.00,3300.50,1568.40
1588.00,3228.70,1566.80
1624.00,3364.30,1599.10
1552.00,3328.40,1537.70
1580.00,3264.50,1555.80
1592.00,3271.00,1569.90
1580.00,3213.00,1545.30
1596.00,3521.40,1567.30
1568.00,3323.10,1533.80
1608.00,3396.80,1586.60
1592.00,3258.00,1559.70
1612.00,3278.80,1586.20
1568.00,3249.30,1540.40
1572.00,3285.90,1540.30
1584.00,3537.60,1553.50
1584.00,3247.30,1548.60
1592.00,3326.40,1570.40
1580.00,3231.90,1561.10
