FCP ,TTI ,plt
504.00,3004.00,480.80
496.00,3025.00,467.50
520.00,2973.50,489.30
500.00,3012.20,479.40
504.00,2990.30,471.70
512.00,3008.40,489.30
480.00,3098.90,463.50
504.00,3103.60,477.80
504.00,3042.20,482.40
512.00,3195.60,487.30
492.00,3168.20,473.50
556.00,3050.60,526.80
528.00,3082.50,493.30
496.00,2993.70,480.70
528.00,3047.30,502.30
500.00,3066.30,479.00
492.00,3036.70,467.60
504.00,3035.70,472.80
528.00,3095.10,505.00
644.00,2924.10,606.50
512.00,2984.20,480.50
504.00,2986.00,475.30
512.00,3116.00,487.10
504.00,3031.80,478.30
500.00,3005.00,469.40
528.00,3181.00,490.80
516.00,3148.30,487.60
528.00,3105.40,513.60
532.00,3081.10,504.90
504.00,3068.40,478.70
500.00,3088.60,478.40
508.00,3074.30,474.40
500.00,3050.00,472.90
528.00,2992.30,497.50
516.00,3497.70,488.40
516.00,3033.10,500.10
508.00,3108.40,487.50
500.00,2970.80,465.50
512.00,3045.90,484.00
516.00,3030.60,483.70
492.00,3031.20,467.50
496.00,2991.50,463.50
528.00,2993.70,498.60
532.00,3193.00,505.70
496.00,3057.60,474.30
488.00,3044.60,473.00
536.00,3010.30,506.20
492.00,3018.50,474.60
496.00,2955.70,475.50
496.00,3002.70,476.10
516.00,3031.20,487.50
492.00,2959.30,467.50
536.00,3038.00,512.70
508.00,3031.10,476.90
512.00,3034.20,483.10
556.00,3130.10,475.90
500.00,2979.00,469.30
504.00,2972.70,479.10
508.00,3039.30,473.30
524.00,3070.10,490.00
520.00,2996.70,481.60
492.00,3051.60,462.90
500.00,3018.20,476.20
500.00,3074.30,479.20
488.00,3062.30,471.40
544.00,3104.10,498.40
512.00,3244.10,486.70
504.00,2948.80,471.90
516.00,3040.50,495.40
516.00,2989.50,487.50
480.00,2990.20,464.00
492.00,3005.60,473.90
520.00,2970.70,479.20
500.00,2926.50,460.60
496.00,2891.50,466.10
520.00,2909.30,486.70
508.00,3019.90,479.20
492.00,2841.10,464.70
484.00,2842.40,460.30
508.00,2862.70,467.00
596.00,2873.80,575.60
520.00,2848.00,473.10
520.00,2888.80,483.60
524.00,2942.90,488.20
488.00,2865.50,469.10
484.00,2898.10,463.90
544.00,2876.80,500.70
496.00,2861.20,452.40
496.00,2893.60,465.10
492.00,2889.80,476.70
496.00,2859.50,463.70
540.00,2829.30,465.30
488.00,2878.70,460.30
512.00,2914.80,479.50
492.00,2855.20,472.90
508.00,2886.30,457.70
520.00,2907.60,468.90
508.00,2920.70,478.60
516.00,2899.40,482.40
536.00,2933.70,488.50
508.00,3269.50,481.90
496.00,2868.00,463.30
524.00,2915.00,503.40
528.00,2997.20,474.90
500.00,2971.00,472.80
496.00,2970.60,472.90
500.00,2919.40,473.60
488.00,2911.10,472.10
500.00,2916.60,468.70
504.00,2907.50,475.40
512.00,2996.10,484.30
512.00,2954.20,474.80
500.00,2984.00,466.10
504.00,2994.00,475.60
520.00,3000.60,495.00
516.00,3013.90,479.60
524.00,2999.60,496.90
664.00,3039.50,632.30
496.00,2957.80,473.80
504.00,2881.40,476.70
488.00,3003.50,473.80
492.00,2930.60,469.20
504.00,2933.00,474.10
492.00,2929.80,466.40
500.00,3151.60,469.90
508.00,2928.30,484.20
488.00,2975.10,468.60
540.00,2972.90,495.00
532.00,2961.70,460.40
504.00,3127.80,474.00
496.00,2977.20,471.30
508.00,2939.50,468.80
500.00,2943.80,468.00
508.00,2981.60,472.70
512.00,2972.90,489.60
504.00,2908.50,474.50
504.00,2997.90,481.00
524.00,2954.50,489.00
516.00,2945.00,463.90
496.00,3011.80,473.50
500.00,2980.80,481.60
496.00,3022.10,463.30
512.00,2961.10,479.60
504.00,2982.40,480.60
512.00,3175.20,487.00
516.00,2932.20,470.50
528.00,2971.30,499.50
516.00,2965.10,466.50
524.00,2956.70,502.30
500.00,2926.60,476.30
488.00,2889.70,467.80
520.00,2882.60,484.80
520.00,2894.10,494.30
504.00,2880.20,473.90
492.00,2863.50,479.20
540.00,2826.90,472.00
520.00,2895.10,495.80
604.00,2873.60,577.30
516.00,2877.20,486.40
512.00,2888.50,480.20
504.00,2916.60,482.60
500.00,2917.60,482.00
488.00,2899.20,467.40
500.00,2924.80,474.40
524.00,2891.30,486.60
512.00,3092.10,483.00
492.00,2890.80,479.30
496.00,2921.40,466.10
500.00,2963.80,483.70
532.00,2906.30,500.70
496.00,2937.20,465.00
512.00,2946.40,479.80
536.00,2942.90,502.70
488.00,2938.30,473.10
500.00,2935.50,481.40
508.00,2945.90,484.40
512.00,3197.00,490.20
512.00,2970.30,481.60
500.00,3020.20,482.40
496.00,3034.50,480.90
516.00,3020.80,492.20
668.00,3071.40,637.20
540.00,2987.80,518.50
508.00,3010.60,478.30
520.00,3006.40,496.70
516.00,2976.10,494.00
524.00,2933.40,464.90
536.00,2938.80,469.80
528.00,3003.10,475.50
520.00,3009.70,493.70
512.00,2963.30,479.50
532.00,3065.50,501.10
544.00,3007.00,498.80
520.00,3000.60,472.70
500.00,3119.80,481.30
520.00,3020.20,493.40
492.00,3007.20,473.30
496.00,3022.50,476.80
512.00,3063.80,491.70
536.00,3207.10,504.50
556.00,2938.60,496.50
500.00,3059.30,479.70
528.00,3040.10,494.80
524.00,2972.20,492.50
524.00,2972.50,470.70
516.00,3030.10,491.60
536.00,3048.70,502.00
500.00,3010.70,476.60
580.00,3051.60,506.10
508.00,3034.30,488.70
500.00,3027.00,479.30
520.00,2993.00,483.20
528.00,3016.80,496.40
500.00,2965.80,476.10
512.00,2949.70,480.10
500.00,3023.10,482.70
520.00,3195.80,498.00
524.00,3040.00,501.80
504.00,3059.20,472.00
524.00,3066.20,495.80
512.00,3044.60,492.20
492.00,3062.40,478.50
516.00,2973.50,489.20
524.00,2971.90,487.80
496.00,2936.90,470.30
520.00,2991.00,491.10
520.00,3022.80,485.40
504.00,3016.90,481.50
508.00,3081.90,485.80
524.00,3150.70,503.50
512.00,3134.70,480.80
728.00,3304.40,687.90
508.00,3256.20,488.20
524.00,2965.70,489.50
520.00,3002.60,495.50
516.00,2973.90,489.90
504.00,2884.70,472.20
500.00,2921.00,482.30
508.00,2906.80,489.50
500.00,2986.00,469.30
496.00,2876.10,472.30
496.00,2876.40,473.30
508.00,2956.80,487.20
484.00,2867.90,466.40
480.00,2965.20,463.00
492.00,2967.90,464.30
536.00,3026.40,515.00
508.00,2938.80,475.50
