FCP ,TTI ,plt
632.00,3352.70,605.10
512.00,3039.70,475.70
556.00,3072.40,527.00
536.00,3068.40,506.20
536.00,2980.80,515.50
512.00,3025.70,485.30
564.00,3082.10,542.50
544.00,3066.10,521.40
556.00,3098.80,529.60
508.00,3116.00,487.60
544.00,3084.70,513.40
520.00,3042.60,499.80
576.00,2926.60,547.60
528.00,2982.20,505.70
552.00,3114.60,515.30
544.00,2995.20,512.40
520.00,2990.00,495.20
508.00,3029.80,489.40
536.00,2972.70,505.60
520.00,3161.20,502.10
508.00,2986.80,487.20
516.00,3007.40,490.30
504.00,3011.80,482.20
528.00,3014.20,499.90
524.00,2958.00,492.90
532.00,3042.10,503.70
528.00,2983.70,510.80
552.00,3069.70,522.40
536.00,3048.70,508.30
552.00,3004.80,522.80
504.00,3011.90,482.00
496.00,3007.10,480.40
512.00,2999.30,484.10
552.00,2989.30,520.40
520.00,2944.80,490.60
504.00,3075.00,476.30
508.00,2944.30,480.50
524.00,3190.70,494.50
532.00,2976.00,499.40
520.00,2976.90,501.70
488.00,3193.70,470.70
516.00,2978.30,487.80
528.00,2969.90,506.60
516.00,3004.40,478.20
500.00,2992.90,479.70
508.00,3000.50,485.80
540.00,3226.20,505.20
508.00,2948.20,483.00
612.00,3073.70,581.50
524.00,2961.40,500.00
524.00,2953.90,492.80
504.00,2957.80,475.50
520.00,2983.10,488.70
536.00,3132.60,512.50
512.00,2990.50,477.60
508.00,2970.00,478.00
508.00,2969.60,475.70
540.00,3231.40,508.50
512.00,3214.60,489.40
548.00,2977.70,523.90
504.00,3023.30,473.40
616.00,3017.90,586.80
524.00,2994.10,498.40
488.00,3018.80,469.60
504.00,2946.90,473.50
540.00,2958.70,509.90
520.00,2987.60,489.30
656.00,2984.60,627.40
520.00,3026.60,485.20
508.00,2977.50,484.00
520.00,2948.30,486.80
504.00,2976.00,477.50
500.00,2996.20,476.70
516.00,2971.00,490.30
532.00,2967.90,500.20
524.00,3192.30,499.40
520.00,3018.60,504.30
572.00,3041.60,547.80
540.00,3116.40,517.90
512.00,3189.50,491.80
532.00,3101.20,501.90
532.00,2984.90,502.20
508.00,3037.80,480.60
528.00,2955.10,489.20
528.00,3036.50,503.40
556.00,3174.40,523.30
504.00,3013.40,480.80
532.00,2986.30,500.20
516.00,3013.70,493.10
540.00,3000.50,517.90
532.00,3027.20,507.80
652.00,3107.00,621.30
532.00,3056.70,513.30
520.00,3127.50,489.20
508.00,3009.60,481.50
508.00,3009.20,484.00
520.00,3019.20,503.20
512.00,3046.40,481.40
572.00,3061.60,543.90
532.00,3009.00,497.90
516.00,2995.40,490.40
516.00,3017.30,485.20
512.00,3043.40,487.60
580.00,3118.10,559.40
508.00,3074.30,487.80
556.00,3254.50,537.10
504.00,3053.30,485.40
520.00,3014.50,486.60
536.00,2992.20,516.30
512.00,2995.50,482.70
544.00,3068.30,508.00
524.00,3044.40,495.30
568.00,2980.30,530.60
536.00,3036.20,498.50
520.00,3038.50,496.00
548.00,3056.70,522.20
552.00,2983.90,521.70
540.00,2975.70,511.10
536.00,3054.90,514.10
536.00,3076.40,513.10
524.00,3003.30,502.80
528.00,2997.10,498.30
520.00,2918.00,502.30
496.00,2996.00,474.80
528.00,2942.60,494.20
556.00,2928.40,520.70
548.00,3028.90,523.60
508.00,2958.50,490.40
516.00,3011.50,490.80
588.00,2970.20,571.50
500.00,2999.70,475.20
528.00,3009.60,498.20
536.00,2995.30,507.10
512.00,3032.10,483.00
504.00,2977.70,475.40
520.00,3000.50,486.40
540.00,3070.90,512.60
500.00,2986.50,474.00
520.00,2985.70,498.10
520.00,3063.60,500.20
532.00,3069.00,508.10
528.00,2979.90,508.20
496.00,3048.90,481.20
580.00,3046.40,551.80
540.00,2980.00,515.50
500.00,3013.30,483.10
504.00,2972.70,478.60
560.00,3021.90,525.90
496.00,3026.20,476.90
524.00,2968.60,491.50
532.00,2974.20,501.70
648.00,3010.10,616.70
540.00,2993.10,518.70
532.00,2949.30,507.50
520.00,2996.90,499.40
532.00,2990.20,499.60
600.00,3170.50,580.90
528.00,3022.20,506.40
576.00,3017.60,553.10
536.00,2951.10,509.50
628.00,3248.20,592.60
508.00,2971.80,488.40
592.00,3089.60,564.60
508.00,3015.60,483.50
536.00,3036.50,507.40
540.00,2982.10,507.40
528.00,2980.60,499.90
524.00,3001.80,497.20
544.00,2977.10,513.80
516.00,2994.10,486.90
516.00,2951.20,490.60
528.00,2965.50,508.40
524.00,2992.20,502.90
496.00,3009.60,479.90
560.00,2980.70,527.30
540.00,3009.80,510.90
504.00,3043.50,474.90
564.00,3057.30,533.50
528.00,3002.20,494.40
624.00,3087.70,593.50
540.00,2959.50,508.10
572.00,3017.70,547.20
528.00,3090.30,495.60
532.00,3086.90,504.90
536.00,3134.90,517.20
596.00,3086.70,566.70
516.00,3220.50,493.30
544.00,3153.30,522.50
520.00,3045.50,495.20
528.00,3079.80,507.10
520.00,3074.20,496.40
540.00,3041.50,516.30
508.00,2986.00,477.40
508.00,2957.50,472.50
508.00,2946.00,484.80
524.00,3295.70,499.60
500.00,2973.80,478.90
564.00,3092.20,538.60
524.00,3041.90,498.00
496.00,3046.20,478.30
528.00,3018.00,508.90
556.00,3254.30,529.40
516.00,2999.60,479.70
548.00,3166.90,521.00
600.00,3169.70,561.10
524.00,3104.30,496.10
520.00,3222.30,489.10
536.00,3222.90,514.10
564.00,3172.60,531.80
520.00,3053.00,490.50
592.00,3196.20,558.20
488.00,3141.50,472.90
568.00,3112.40,547.80
524.00,3021.10,501.10
508.00,2996.90,475.30
532.00,3233.40,509.70
556.00,3009.00,528.90
536.00,3363.30,513.10
520.00,3057.70,503.80
596.00,3054.40,562.60
532.00,3046.40,503.00
524.00,2923.90,495.80
496.00,3078.70,479.60
496.00,3042.30,471.70
516.00,3111.10,488.60
636.00,3421.10,596.10
520.00,3026.30,498.50
532.00,3031.60,506.10
540.00,3079.00,509.00
532.00,3096.10,500.90
528.00,3075.90,510.70
496.00,2962.50,477.00
504.00,3032.40,476.20
544.00,3217.40,508.90
512.00,2924.10,496.40
556.00,2988.90,528.90
508.00,3004.90,488.40
524.00,2967.50,485.20
528.00,2963.50,498.30
532.00,3080.70,513.30
528.00,2916.20,497.70
524.00,2987.50,492.90
532.00,2936.40,504.70
500.00,3005.60,474.10
508.00,3020.30,482.30
532.00,3038.80,515.90
548.00,2968.30,518.40
504.00,2996.70,484.80
548.00,2984.80,518.40
