FCP ,TTI ,plt
744.00,3784.20,624.70
668.00,3521.30,562.60
704.00,3696.30,580.20
716.00,3640.00,601.20
680.00,3605.70,575.90
792.00,3564.90,655.50
848.00,3623.20,727.00
688.00,3563.50,570.80
680.00,3683.30,562.50
748.00,3634.00,628.20
720.00,3621.00,603.00
732.00,3443.20,610.60
700.00,3599.70,587.50
696.00,4034.90,575.10
720.00,4003.20,610.30
692.00,4132.10,580.60
720.00,3574.10,588.40
920.00,4113.70,808.60
712.00,3570.60,580.60
700.00,3682.90,586.50
740.00,3719.60,607.10
684.00,3611.40,564.50
680.00,3781.50,565.50
676.00,3515.30,562.30
672.00,3568.10,559.90
768.00,3742.50,647.60
712.00,3976.40,595.50
732.00,3704.30,559.00
704.00,3548.90,585.30
860.00,3939.50,726.70
712.00,3579.40,592.20
772.00,3666.40,642.30
668.00,3480.10,558.40
872.00,3414.30,617.60
712.00,3536.90,585.90
696.00,3569.60,579.30
712.00,3780.30,572.60
720.00,3557.00,586.50
688.00,3550.30,578.00
704.00,3497.30,588.50
768.00,3569.70,634.40
760.00,3898.20,645.70
680.00,3911.40,574.20
696.00,3923.90,578.20
716.00,3946.60,577.70
704.00,3895.80,591.70
736.00,3861.20,611.50
684.00,3564.50,576.60
688.00,3476.20,567.90
688.00,3522.60,578.60
688.00,3541.10,574.70
692.00,4037.10,576.80
768.00,3543.50,645.30
704.00,3901.80,595.90
688.00,3493.50,574.70
760.00,3735.50,645.90
700.00,3556.40,586.90
712.00,3738.00,586.30
760.00,3643.40,637.00
736.00,3770.80,562.20
704.00,3482.30,576.90
680.00,3547.50,562.90
668.00,3512.90,567.00
828.00,3719.00,705.60
688.00,3485.10,583.10
680.00,3556.70,562.00
684.00,3513.30,576.50
736.00,3878.30,566.00
692.00,3846.60,580.90
676.00,3752.30,570.20
680.00,3537.30,568.40
664.00,3520.80,559.60
704.00,3612.50,587.90
684.00,3513.90,575.40
684.00,3545.30,573.40
696.00,3519.50,584.20
672.00,3524.10,563.30
668.00,3422.20,558.40
824.00,3619.00,701.40
688.00,3561.40,571.40
660.00,3523.20,558.00
704.00,3595.50,589.00
692.00,3557.60,575.90
676.00,3566.90,568.10
852.00,3448.40,741.40
692.00,3509.90,583.00
704.00,3603.00,583.20
692.00,3477.20,568.50
708.00,3548.40,601.80
688.00,3558.10,573.20
676.00,3534.40,568.10
824.00,3543.60,707.70
688.00,3531.60,569.70
680.00,3889.70,566.30
688.00,3952.20,581.30
680.00,3600.10,560.50
796.00,3594.20,657.80
872.00,3923.40,750.10
668.00,3561.80,564.70
676.00,3852.40,563.70
676.00,3554.90,572.90
680.00,3555.50,574.50
668.00,3480.40,557.40
660.00,3518.10,557.60
728.00,3891.40,548.80
692.00,3519.40,576.80
676.00,3582.70,555.00
684.00,3487.10,568.80
784.00,3977.20,590.80
700.00,3523.40,588.50
700.00,3901.30,583.50
684.00,3566.90,566.90
688.00,3582.30,572.80
868.00,3919.10,754.40
696.00,3511.00,581.40
