FCP ,TTI ,plt
620.00,3237.40,538.30
580.00,3236.90,512.70
564.00,3192.10,493.50
580.00,3168.00,507.60
572.00,3211.50,494.70
588.00,3184.70,508.40
564.00,3339.80,492.40
576.00,3101.30,505.20
624.00,3154.00,538.30
596.00,3297.30,523.10
580.00,3103.10,510.60
564.00,3364.50,490.20
576.00,3221.50,500.30
556.00,3220.70,487.40
556.00,3174.10,489.90
576.00,3243.10,496.70
584.00,3144.10,514.80
544.00,3178.60,482.00
580.00,3170.40,503.30
560.00,3166.30,492.30
684.00,3458.90,590.80
560.00,3255.20,486.90
636.00,3176.60,569.70
588.00,3194.70,520.90
584.00,3077.40,515.70
580.00,3064.90,502.00
564.00,3073.40,490.80
568.00,3126.50,499.40
548.00,3065.40,471.40
552.00,3221.90,474.60
580.00,3129.80,508.30
548.00,3131.30,477.40
556.00,3055.20,480.60
564.00,3144.90,487.70
580.00,3168.30,509.40
588.00,3150.80,500.60
608.00,3079.00,485.60
552.00,3125.50,481.00
604.00,3319.70,522.60
556.00,3109.80,487.50
552.00,3045.00,485.70
580.00,3234.00,506.90
580.00,3121.90,517.40
564.00,3134.40,482.70
548.00,3112.90,481.00
548.00,3125.90,487.20
580.00,3126.70,511.30
560.00,3127.90,494.00
564.00,3083.00,485.70
564.00,3162.90,491.80
604.00,3084.20,527.60
596.00,3131.70,519.70
560.00,3142.50,486.10
596.00,3227.70,520.10
564.00,3203.50,492.30
564.00,3354.50,497.50
580.00,3562.80,503.30
580.00,3283.10,503.50
600.00,3286.90,514.70
604.00,3308.00,524.30
688.00,3699.90,620.20
584.00,3266.90,503.50
600.00,3260.20,522.60
564.00,3258.20,496.60
664.00,3594.50,588.40
660.00,3317.40,586.60
576.00,3314.40,495.20
560.00,3243.70,496.00
688.00,3588.60,601.60
552.00,3316.90,483.50
560.00,3172.20,491.20
556.00,3323.50,488.40
572.00,3194.90,502.10
616.00,3189.50,543.60
572.00,3236.70,496.70
588.00,3213.10,517.90
564.00,3532.40,492.90
568.00,3192.40,484.80
628.00,3181.00,558.70
560.00,3193.90,485.80
560.00,3632.20,484.80
580.00,3425.30,515.70
584.00,3188.30,504.80
592.00,3232.70,517.40
592.00,3261.70,510.10
568.00,3446.90,495.60
580.00,3568.90,504.50
572.00,3230.30,496.10
580.00,3194.20,502.10
560.00,3159.00,492.30
556.00,3203.90,487.70
616.00,3253.20,550.40
596.00,3141.70,511.90
664.00,3238.50,578.40
620.00,3301.10,532.00
616.00,3287.40,535.10
584.00,3182.40,513.60
624.00,3158.10,551.80
572.00,3110.50,492.70
572.00,3130.90,494.80
556.00,3137.50,486.60
604.00,3146.50,530.70
700.00,3647.60,624.00
592.00,3485.20,506.20
584.00,3176.40,515.30
584.00,3294.70,506.20
840.00,3887.70,742.20
576.00,3220.10,505.50
584.00,3094.40,508.60
608.00,3076.30,529.70
556.00,3162.60,477.40
564.00,3136.10,491.50
560.00,3196.70,492.70
560.00,3133.70,491.30
584.00,3047.00,515.40
560.00,3206.20,485.70
544.00,3116.30,479.10
568.00,3199.80,490.20
672.00,3627.50,605.00
612.00,3231.00,538.10
560.00,3236.30,487.60
588.00,3226.10,512.00
628.00,3207.10,549.10
648.00,3573.20,575.50
656.00,3143.20,578.40
572.00,3281.20,504.90
564.00,3256.40,494.90
564.00,3142.50,490.00
592.00,3217.50,502.50
664.00,3422.30,591.00
588.00,3205.60,518.20
588.00,3166.10,509.90
564.00,3221.10,499.90
604.00,3284.50,525.00
588.00,3191.70,516.30
596.00,3334.20,527.10
564.00,3197.00,488.30
596.00,3209.30,518.50
572.00,3276.80,502.20
564.00,3216.70,496.80
788.00,3274.00,710.10
564.00,3188.20,485.70
616.00,3165.40,529.40
560.00,3246.40,492.30
560.00,3151.80,484.00
580.00,3185.00,514.30
576.00,3198.20,499.70
584.00,3196.90,515.20
600.00,3308.20,521.50
568.00,3266.30,495.60
552.00,3194.30,480.60
584.00,3156.20,508.70
564.00,3135.80,491.90
600.00,3241.70,526.90
552.00,3129.90,488.30
596.00,3212.80,524.10
564.00,3234.80,484.60
560.00,3191.10,481.60
572.00,3490.20,482.10
568.00,3164.50,491.50
548.00,3260.00,474.50
564.00,3181.50,490.70
548.00,3111.80,476.10
560.00,3209.70,496.50
568.00,3153.50,498.70
552.00,3044.30,481.00
564.00,3522.90,488.10
568.00,3098.70,489.90
564.00,3083.00,491.30
572.00,3131.20,504.50
580.00,3116.80,504.30
740.00,3604.10,645.60
560.00,3078.90,486.90
540.00,3177.00,475.80
548.00,3123.40,476.40
548.00,3082.90,479.60
580.00,3128.30,504.00
612.00,3209.40,544.70
572.00,3228.10,494.80
572.00,3261.70,495.90
588.00,3618.20,487.40
580.00,3136.60,512.20
584.00,3301.20,503.80
572.00,3129.30,502.60
576.00,3205.80,507.20
560.00,3260.00,496.90
576.00,3163.30,510.30
576.00,3188.80,500.20
544.00,3227.90,478.40
564.00,3134.40,486.90
572.00,3166.60,497.70
580.00,3276.10,515.70
556.00,3251.40,480.80
560.00,3211.90,492.40
588.00,3193.40,515.80
564.00,3179.80,488.80
552.00,3213.10,484.40
564.00,3357.80,499.50
580.00,3225.50,516.50
560.00,3280.60,485.90
584.00,3272.00,504.00
556.00,3266.00,488.30
576.00,3248.40,497.70
576.00,3212.90,494.50
564.00,3358.00,484.20
576.00,3264.50,511.60
560.00,3261.30,496.30
568.00,3140.90,492.30
576.00,3426.00,484.50
584.00,3279.30,507.90
608.00,3329.50,541.80
568.00,3341.60,503.30
556.00,3240.50,488.00
560.00,3213.80,492.50
612.00,3503.50,511.20
592.00,3674.50,511.00
564.00,3236.50,494.70
572.00,3285.40,500.70
580.00,3235.20,505.90
572.00,3205.90,494.50
580.00,3306.90,506.80
572.00,3291.50,503.70
568.00,3218.80,495.30
636.00,3392.90,562.60
588.00,3260.30,510.00
