FCP ,TTI ,plt
972.00,792.20,874.20
916.00,633.10,828.20
824.00,635.70,729.80
984.00,773.30,850.40
836.00,732.90,746.50
844.00,761.20,749.90
1004.00,731.20,911.70
916.00,742.70,819.80
1152.00,674.40,1041.70
932.00,764.60,838.20
980.00,838.90,870.20
1056.00,813.40,946.40
892.00,727.30,801.00
864.00,697.70,767.00
844.00,705.90,751.50
896.00,714.40,801.60
932.00,770.60,836.30
852.00,655.60,754.20
824.00,693.40,740.00
880.00,761.30,795.00
904.00,677.50,805.10
900.00,690.50,805.80
852.00,762.60,758.00
904.00,775.00,809.30
888.00,647.70,800.10
912.00,673.50,814.00
956.00,712.00,847.40
832.00,709.70,748.30
848.00,747.10,768.50
852.00,703.60,754.80
912.00,717.70,813.60
892.00,688.60,790.90
844.00,713.60,757.10
844.00,734.70,754.20
916.00,724.30,815.30
908.00,690.90,809.60
836.00,721.70,744.20
856.00,654.10,767.80
980.00,811.00,880.10
940.00,697.00,841.30
880.00,709.00,785.00
892.00,723.70,795.50
956.00,701.10,857.30
1024.00,812.40,930.50
876.00,759.20,783.20
904.00,690.40,812.60
900.00,776.70,804.80
952.00,724.60,853.80
1112.00,731.60,1014.90
960.00,841.70,857.70
896.00,746.20,820.00
988.00,765.20,888.20
928.00,732.70,840.10
864.00,722.60,776.00
884.00,772.60,797.80
880.00,721.80,792.20
992.00,719.30,895.60
884.00,767.70,790.90
976.00,712.60,874.60
896.00,713.90,793.40
880.00,694.50,788.30
968.00,736.70,863.90
956.00,690.00,855.60
880.00,661.20,768.60
888.00,676.00,792.30
920.00,784.30,822.80
976.00,712.60,864.50
964.00,705.30,871.00
864.00,730.70,783.10
884.00,763.50,801.40
904.00,731.00,812.60
960.00,837.40,863.90
968.00,762.60,855.10
876.00,784.40,779.20
892.00,773.80,794.40
888.00,795.80,798.60
1004.00,872.30,902.40
908.00,677.40,812.90
980.00,760.90,883.50
872.00,681.40,793.90
1196.00,879.80,1091.10
876.00,763.30,788.80
872.00,738.80,781.50
876.00,738.10,785.20
880.00,673.50,796.60
880.00,721.70,783.40
884.00,730.00,790.90
856.00,729.10,763.90
1140.00,864.60,1037.20
912.00,703.60,818.00
1020.00,673.40,896.60
912.00,661.60,818.50
1020.00,753.40,929.20
984.00,746.70,901.50
876.00,738.10,785.20
880.00,673.50,796.60
880.00,721.70,783.40
884.00,730.00,790.90
840.00,714.90,751.80
848.00,774.30,768.00
856.00,665.20,773.80
848.00,697.70,761.70
880.00,670.60,790.80
832.00,705.60,754.30
832.00,705.60,754.30
872.00,751.50,780.40
880.00,772.30,791.90
892.00,755.80,792.40
880.00,756.90,776.40
888.00,755.20,794.50
864.00,717.20,781.10
868.00,735.80,787.00
852.00,760.70,765.30
868.00,737.70,787.50
864.00,803.60,779.60
848.00,701.80,764.80
864.00,757.90,781.20
864.00,764.60,777.10
880.00,741.10,796.40
1024.00,734.40,921.30
884.00,662.60,795.40
860.00,688.80,765.10
900.00,686.60,815.80
872.00,774.40,775.30
832.00,710.10,743.50
852.00,656.20,755.10
860.00,679.40,776.10
868.00,769.00,766.70
828.00,632.80,752.40
860.00,717.30,784.10
848.00,711.20,759.40
844.00,695.90,767.70
844.00,701.80,752.10
