FCP ,TTI ,plt
832.00,3668.90,693.10
792.00,3748.20,658.40
780.00,3650.00,639.80
1004.00,3705.20,869.50
780.00,3755.90,654.90
848.00,4055.80,720.00
800.00,4031.20,668.00
828.00,3680.70,698.80
796.00,3669.20,657.00
768.00,3764.90,641.40
864.00,4007.20,723.80
868.00,3737.80,734.30
772.00,3687.00,648.10
780.00,3679.10,643.20
792.00,3668.20,653.30
776.00,3752.00,651.50
856.00,4012.70,722.20
824.00,3806.40,677.20
788.00,3632.30,649.80
868.00,3799.00,737.00
764.00,3743.50,643.80
776.00,3769.80,648.40
764.00,3658.80,629.60
764.00,3720.30,635.60
1048.00,3722.30,904.20
776.00,3642.70,645.00
792.00,3659.80,656.30
776.00,3632.50,637.60
968.00,3968.70,831.30
860.00,3706.70,715.10
796.00,3778.00,668.20
768.00,3774.40,643.40
788.00,3678.20,647.00
888.00,3953.70,741.40
800.00,4109.90,664.80
952.00,4074.80,820.00
772.00,3743.60,649.00
788.00,3665.40,649.10
772.00,3671.20,640.60
880.00,4160.10,748.20
796.00,3718.10,660.10
772.00,3708.30,649.80
776.00,3714.30,641.50
868.00,3954.80,640.40
828.00,3638.60,703.90
768.00,3694.00,634.90
864.00,3977.70,737.90
764.00,3957.20,631.60
856.00,3828.00,726.30
796.00,3748.00,667.40
788.00,3647.40,638.60
776.00,3745.50,634.90
780.00,3727.10,648.40
896.00,4191.80,652.70
820.00,3690.40,682.40
832.00,3697.30,698.10
800.00,3766.90,664.40
792.00,3712.70,663.10
788.00,3653.10,657.10
944.00,4226.30,810.50
936.00,4104.20,796.10
776.00,3741.60,638.50
820.00,3763.80,679.90
788.00,3774.00,665.00
824.00,3765.50,687.00
1108.00,4042.10,682.00
972.00,4298.60,838.80
768.00,3669.30,645.00
784.00,3692.90,651.60
788.00,3745.00,656.70
1036.00,4006.10,902.50
804.00,3729.50,655.60
900.00,3987.90,766.00
768.00,3685.50,631.00
816.00,3671.60,671.30
804.00,3712.10,662.40
916.00,4143.50,788.90
812.00,4088.40,687.70
844.00,3746.20,631.70
808.00,3629.10,669.00
840.00,3678.30,641.00
800.00,3756.00,664.60
780.00,3707.60,635.90
780.00,3574.50,656.70
916.00,4063.40,774.00
812.00,3722.80,670.60
796.00,3746.70,656.10
824.00,3609.40,665.90
920.00,4062.30,772.00
812.00,3683.70,666.40
768.00,3644.80,642.40
744.00,3708.60,612.30
812.00,3657.20,688.20
756.00,3652.10,643.20
772.00,3737.70,641.80
792.00,3561.90,654.30
780.00,3653.20,648.40
800.00,3721.80,657.60
932.00,4232.70,796.30
820.00,3928.00,685.40
764.00,3558.40,638.80
744.00,3715.30,622.00
760.00,3927.90,632.40
780.00,3724.50,658.40
952.00,3729.60,825.00
792.00,3658.00,657.30
752.00,3692.20,628.60
832.00,3711.00,702.90
792.00,3757.00,663.10
816.00,3876.80,688.10
768.00,3764.10,648.50
836.00,3615.40,679.30
1020.00,3853.80,873.40
928.00,3966.10,783.70
840.00,3891.10,703.90
812.00,3795.90,683.40
980.00,3994.40,829.90
804.00,3981.20,673.40
944.00,3994.20,814.60
824.00,3931.90,686.90
1068.00,3966.40,917.20
868.00,4442.40,739.20
980.00,2171.80,831.10
1048.00,2885.60,881.40
924.00,4143.00,768.60
916.00,4276.20,774.70
4496.00,269.50,693.50
916.00,3713.00,752.80
820.00,3771.30,663.70
4312.00,250.90,644.40
4752.00,-134.80,542.10
876.00,3826.60,737.80
828.00,4008.50,696.10
916.00,4107.90,790.10
804.00,3819.50,681.70
840.00,3854.70,688.90
