FCP ,TTI ,plt
608.00,3438.60,506.50
580.00,3322.10,506.20
576.00,3476.30,502.50
648.00,3621.10,494.00
584.00,3289.40,502.20
564.00,3261.40,488.90
540.00,3431.90,473.10
540.00,3227.60,471.70
576.00,3345.30,493.50
560.00,3392.30,484.90
544.00,3645.30,482.30
568.00,3304.10,489.80
564.00,3322.20,491.40
552.00,3270.20,486.30
704.00,3257.40,621.80
560.00,3301.70,488.20
552.00,3257.90,474.20
564.00,3218.20,483.00
572.00,3303.00,500.70
564.00,3302.20,486.60
552.00,3256.60,485.40
564.00,3506.60,487.50
568.00,3223.30,480.60
564.00,3273.30,485.40
564.00,3323.20,488.10
548.00,3298.00,473.70
572.00,3239.20,490.50
564.00,3683.80,489.30
580.00,3704.70,505.30
572.00,3763.20,497.30
568.00,3444.10,485.50
584.00,3286.80,511.80
788.00,3728.40,693.30
592.00,3335.20,522.40
564.00,3329.50,480.20
580.00,3391.90,493.10
580.00,3388.20,501.00
560.00,3282.70,484.20
576.00,3368.60,492.70
560.00,3647.00,479.00
640.00,3431.00,505.70
604.00,3281.00,491.60
568.00,3348.90,488.90
576.00,3346.00,500.00
724.00,3806.70,636.10
576.00,3317.20,502.00
572.00,3357.50,490.20
592.00,3307.20,505.40
568.00,3340.40,487.00
596.00,3348.50,518.50
568.00,3387.90,500.30
604.00,3862.10,514.00
572.00,3853.40,502.50
572.00,3897.50,487.80
540.00,3333.30,473.00
576.00,3308.20,502.60
768.00,4069.60,674.90
576.00,3570.20,496.10
564.00,3305.10,491.10
584.00,3296.50,511.00
564.00,3293.70,480.90
556.00,3299.10,483.90
552.00,3597.70,483.10
576.00,3663.70,500.50
564.00,3733.40,485.40
564.00,3347.40,483.90
576.00,3251.70,489.70
692.00,3597.10,593.00
584.00,3278.50,500.90
548.00,3281.40,472.90
560.00,3276.90,488.00
560.00,3275.20,486.80
552.00,3286.00,481.00
580.00,3305.80,499.00
572.00,3545.50,485.20
584.00,3675.90,512.90
584.00,3584.90,506.00
564.00,3353.70,491.00
584.00,3293.80,505.30
568.00,3261.40,492.40
832.00,3684.20,750.70
604.00,3288.70,533.50
560.00,3329.70,483.80
564.00,3298.80,498.00
544.00,3306.00,471.80
552.00,3268.30,474.80
540.00,3221.60,473.70
548.00,3533.20,477.80
580.00,3530.80,507.70
580.00,3530.80,509.10
572.00,3427.80,482.60
688.00,3294.30,610.10
568.00,3272.20,491.30
668.00,3616.20,591.70
584.00,3271.20,506.10
576.00,3204.40,486.60
580.00,3315.00,503.80
592.00,3363.00,519.80
608.00,3369.50,512.60
560.00,3365.40,484.30
588.00,3356.40,515.10
616.00,3522.60,539.30
584.00,3388.30,517.50
680.00,3430.50,599.00
584.00,3499.50,507.80
580.00,3416.00,501.20
572.00,3432.10,492.90
572.00,3462.90,496.80
572.00,3316.10,478.20
632.00,3406.70,539.70
600.00,3381.90,523.60
568.00,3446.60,496.50
592.00,3432.80,515.50
568.00,3852.00,488.40
592.00,3910.00,515.20
604.00,3763.60,528.90
572.00,3403.50,498.20
756.00,3878.40,666.80
588.00,3890.70,503.00
568.00,3700.40,501.40
580.00,3541.20,500.70
696.00,3478.90,605.50
584.00,3457.50,509.60
568.00,3785.00,498.90
588.00,3375.90,505.20
572.00,3762.40,500.40
568.00,3461.10,489.10
996.00,4006.00,903.90
572.00,3386.40,502.90
596.00,3351.10,526.00
592.00,3410.40,510.40
568.00,3315.90,494.10
576.00,3291.50,501.90
556.00,3293.90,483.50
580.00,3481.20,495.00
568.00,3686.20,498.20
588.00,3959.00,511.80
648.00,3947.30,561.80
668.00,3529.20,579.90
756.00,3977.40,661.70
604.00,3834.90,514.90
752.00,4100.10,661.10
588.00,3413.80,519.30
556.00,3337.90,491.70
624.00,3415.30,542.00
576.00,3944.80,496.90
632.00,3818.90,559.40
564.00,3394.70,492.90
608.00,3574.50,524.80
764.00,3632.40,681.10
580.00,3725.50,511.00
568.00,3726.00,495.50
556.00,3450.40,479.80
628.00,3295.50,548.20
704.00,3527.30,628.20
592.00,3852.70,527.30
660.00,3844.70,573.40
616.00,3888.90,526.30
576.00,3290.00,511.40
892.00,3946.20,807.30
576.00,3403.80,491.70
588.00,3923.80,509.20
580.00,3445.60,504.80
620.00,3320.90,547.40
588.00,3331.00,517.60
588.00,4021.00,509.60
568.00,3966.60,495.50
560.00,3973.30,487.20
588.00,3395.80,502.10
608.00,3219.00,529.80
552.00,3272.90,485.80
568.00,3307.40,487.50
552.00,3285.40,480.50
568.00,3262.70,501.80
580.00,3277.30,502.50
608.00,3501.40,527.80
544.00,3831.00,472.70
572.00,3442.80,511.80
560.00,3357.80,478.80
576.00,3338.60,496.90
620.00,3401.30,544.40
572.00,3936.60,501.10
596.00,4419.70,512.60
616.00,4172.80,533.50
604.00,3515.10,526.20
776.00,4065.70,692.10
580.00,3835.80,506.70
592.00,3675.00,510.80
612.00,3565.60,535.80
592.00,3436.00,511.90
672.00,3574.10,579.00
588.00,3461.10,511.20
644.00,4021.40,563.10
608.00,3976.00,531.20
596.00,3911.90,521.10
652.00,3475.80,570.90
1016.00,3709.10,937.40
648.00,3455.30,564.70
576.00,3502.30,495.90
608.00,3683.30,520.50
628.00,3391.90,540.30
556.00,3262.90,480.80
572.00,3440.50,491.20
584.00,3673.80,500.10
592.00,3367.60,523.60
568.00,3358.90,500.90
564.00,3386.50,493.40
664.00,3659.40,486.20
584.00,3326.80,509.70
576.00,3315.50,494.90
564.00,3334.30,480.20
568.00,3295.00,488.00
568.00,3346.60,497.10
576.00,3386.40,496.30
580.00,3549.80,498.70
600.00,3368.80,516.80
600.00,3461.00,522.00
604.00,3362.10,518.10
700.00,3800.90,626.70
576.00,3758.50,509.10
584.00,3405.30,509.70
584.00,3295.90,507.30
592.00,3387.40,512.50
612.00,3768.30,535.60
600.00,3481.50,521.80
580.00,3341.50,502.20
564.00,3302.40,489.10
656.00,3410.80,572.70
584.00,3671.40,501.60
584.00,3434.00,505.30
552.00,3382.60,484.10
636.00,3299.20,553.80
636.00,3313.30,557.00
600.00,3681.50,527.30
584.00,3815.60,500.80
576.00,3847.40,499.90
568.00,3442.20,497.90
796.00,3939.50,700.10
592.00,3410.60,519.80
688.00,3399.30,585.00
572.00,3581.90,501.60
560.00,3415.80,492.10
568.00,3394.50,486.40
568.00,3389.80,490.10
568.00,3476.60,498.40
584.00,3714.00,500.30
588.00,3750.80,504.00
572.00,3757.70,490.60
576.00,3556.20,501.50
