FCP ,TTI ,plt
740.00,4424.70,644.30
648.00,4331.10,569.10
636.00,4016.70,551.10
640.00,3982.70,540.10
672.00,4046.30,576.90
672.00,4109.00,564.10
672.00,3980.00,576.10
620.00,5013.90,527.80
668.00,4030.80,571.60
664.00,4003.10,581.70
652.00,4066.40,571.20
628.00,3982.80,540.70
648.00,3943.40,560.30
708.00,4095.00,613.10
644.00,4330.50,539.40
656.00,4446.20,563.40
652.00,4063.90,554.30
688.00,4171.20,607.50
680.00,4081.90,587.40
644.00,4109.70,556.20
628.00,4113.80,543.30
676.00,4668.40,583.90
780.00,4172.70,690.60
756.00,4399.30,669.50
712.00,4072.70,614.30
728.00,4142.00,635.60
668.00,4079.80,569.90
668.00,4058.10,583.10
680.00,4028.80,590.70
628.00,4035.70,536.50
716.00,4120.80,617.10
656.00,4134.00,560.10
652.00,3911.70,555.50
684.00,4214.40,589.40
664.00,4017.90,574.20
656.00,4282.10,554.00
692.00,4187.40,585.40
648.00,4378.70,553.20
672.00,4117.60,578.80
732.00,3994.80,636.20
672.00,4396.10,574.70
672.00,4224.70,589.40
740.00,4102.60,642.70
652.00,4038.30,561.60
640.00,4184.70,550.80
632.00,3927.10,548.90
636.00,4020.80,541.70
604.00,4101.30,513.30
676.00,3983.80,594.50
656.00,3976.80,566.40
624.00,3981.50,536.70
640.00,3870.40,554.80
636.00,3906.00,542.40
616.00,3897.10,530.40
648.00,4093.50,551.00
636.00,4016.80,542.40
612.00,3971.20,526.90
612.00,4038.70,537.20
616.00,3928.20,537.90
620.00,4164.90,530.30
616.00,3947.00,535.70
600.00,3914.40,529.60
660.00,3995.60,579.00
776.00,4045.60,682.30
684.00,4090.90,585.20
596.00,3834.80,512.20
588.00,3967.00,499.00
592.00,3903.80,506.20
604.00,3989.30,514.90
592.00,3902.00,509.80
608.00,3969.40,517.40
592.00,4261.50,509.00
860.00,4107.00,789.40
624.00,3929.90,542.00
612.00,3897.80,530.50
596.00,4027.60,521.00
628.00,3973.70,537.90
628.00,4024.80,538.20
688.00,3971.70,598.00
708.00,3926.20,625.70
652.00,4028.10,559.40
640.00,3981.80,560.30
700.00,3959.60,597.30
644.00,4007.00,563.30
672.00,4048.70,592.00
620.00,4042.60,526.80
692.00,4024.30,601.10
656.00,4073.80,568.00
608.00,4163.10,538.50
632.00,4013.70,541.00
684.00,4100.10,594.50
632.00,4029.30,538.10
612.00,3963.60,530.30
684.00,3997.90,593.40
632.00,4121.70,549.50
596.00,3883.10,520.40
648.00,3899.70,560.60
640.00,4082.50,543.00
616.00,3942.40,537.30
624.00,3953.20,542.20
620.00,4024.50,531.90
584.00,3928.00,507.60
608.00,3984.70,527.40
616.00,4262.50,533.60
608.00,4394.70,529.40
616.00,3978.70,541.90
640.00,4034.50,549.50
620.00,4007.80,528.70
648.00,4196.20,562.30
660.00,4096.90,564.30
656.00,4040.00,572.10
656.00,4136.70,574.20
756.00,4099.60,673.30
608.00,4001.20,524.30
708.00,4553.70,618.30
640.00,4037.90,551.30
616.00,4024.90,539.00
676.00,4508.70,571.40
640.00,4092.30,557.30
632.00,3940.30,542.80
636.00,4167.20,558.20
708.00,4190.70,621.50
640.00,4035.40,552.20
732.00,4562.50,640.90
652.00,4071.70,555.80
692.00,4231.10,585.20
700.00,4469.80,597.80
656.00,4114.20,559.10
664.00,4163.00,578.40
688.00,4009.60,584.80
640.00,4056.90,549.50
636.00,4100.20,546.30
660.00,4123.50,575.10
672.00,4233.30,579.10
748.00,4161.00,665.90
716.00,4073.80,615.00
748.00,4229.50,655.40
704.00,4209.30,613.60
692.00,4029.80,613.60
672.00,4161.80,578.20
640.00,4088.00,547.70
716.00,4376.30,627.50
736.00,4172.90,652.30
664.00,4112.00,564.10
668.00,4208.40,573.80
656.00,4138.30,567.10
640.00,4417.80,550.30
704.00,4163.80,603.20
688.00,4121.00,605.20
640.00,4042.10,556.50
660.00,3953.20,578.10
632.00,3922.20,547.90
664.00,3830.80,572.60
788.00,4064.80,686.80
632.00,4265.50,548.50
652.00,4053.30,556.70
700.00,4252.40,606.70
644.00,4208.40,558.20
656.00,3965.50,559.00
772.00,4211.20,691.10
652.00,4225.80,567.70
720.00,4008.60,631.00
636.00,4151.00,558.60
628.00,4250.40,549.20
612.00,4089.70,533.60
660.00,4058.50,574.10
716.00,4111.00,607.60
624.00,4199.80,531.10
652.00,4113.20,558.90
632.00,4065.30,538.60
660.00,3993.40,560.20
652.00,4097.50,562.30
640.00,4073.80,545.30
628.00,3944.30,538.80
720.00,4266.70,632.90
644.00,4114.70,555.90
640.00,4017.10,552.80
664.00,4069.10,585.90
648.00,4059.50,552.00
620.00,3994.60,535.10
592.00,3833.90,509.10
600.00,3911.20,517.00
588.00,4031.40,507.30
604.00,3854.10,531.20
572.00,3825.90,500.00
656.00,3747.80,575.10
572.00,3818.80,502.40
560.00,4019.60,491.40
588.00,3850.80,504.60
592.00,3723.90,511.90
644.00,3863.30,567.80
576.00,3743.50,492.80
588.00,3810.60,517.30
588.00,3747.20,501.20
576.00,4075.20,504.10
676.00,3816.90,601.50
572.00,4134.50,497.50
612.00,3795.40,527.80
604.00,3738.80,512.10
584.00,3830.30,499.30
632.00,3935.20,542.30
636.00,4036.60,546.70
624.00,3900.70,535.00
