FCP ,TTI ,plt
712.00,3410.30,682.60
700.00,3725.90,672.40
804.00,4025.20,773.00
868.00,3692.90,837.60
652.00,3748.00,625.70
644.00,3632.10,617.60
680.00,3697.30,645.50
660.00,3752.00,636.20
700.00,3587.10,670.40
784.00,4140.50,757.60
632.00,3696.70,608.50
652.00,4041.90,614.20
684.00,3632.40,658.40
624.00,3656.80,595.40
588.00,3688.10,574.50
600.00,3622.70,569.80
620.00,3687.50,581.40
728.00,3625.00,704.90
628.00,3574.70,604.50
600.00,3563.10,570.80
720.00,3641.00,688.20
636.00,3661.90,611.30
624.00,3603.10,589.90
796.00,3635.60,773.70
748.00,3595.30,713.00
604.00,3601.70,581.60
612.00,3551.90,586.50
640.00,3622.50,617.80
596.00,3770.30,573.10
616.00,3661.70,594.10
644.00,4175.10,608.90
664.00,3647.90,626.40
768.00,4264.00,736.00
768.00,4451.80,739.80
716.00,3672.60,677.40
668.00,4906.40,639.60
624.00,3767.50,596.30
632.00,3762.10,596.10
648.00,3654.50,616.40
624.00,4030.70,600.90
684.00,3768.20,649.10
656.00,3649.50,624.20
672.00,3885.40,642.60
712.00,3669.70,680.90
644.00,3791.40,615.80
604.00,3594.40,582.90
612.00,3715.40,590.80
700.00,3536.40,680.10
608.00,3549.80,579.40
592.00,3485.10,563.30
632.00,3528.10,610.30
648.00,3666.10,629.60
624.00,3901.00,602.20
680.00,3604.30,647.50
648.00,3560.00,610.60
632.00,3565.30,604.70
668.00,3765.20,635.60
612.00,4197.10,584.20
644.00,3699.40,618.50
844.00,3650.60,822.80
620.00,3615.30,585.90
656.00,3610.90,617.70
616.00,3548.70,583.50
632.00,3563.60,609.70
680.00,3863.10,648.00
608.00,3676.10,581.00
708.00,3906.00,672.00
672.00,3960.60,644.40
636.00,3674.50,606.20
624.00,3490.80,603.80
656.00,3565.00,621.20
632.00,3507.00,601.20
676.00,3909.70,647.40
728.00,3599.90,693.50
660.00,3822.10,633.90
632.00,3674.70,612.20
644.00,3685.50,615.60
676.00,3593.60,650.60
620.00,3573.80,598.80
680.00,3561.70,642.70
772.00,3729.00,736.10
644.00,3736.20,608.60
736.00,3612.50,716.20
620.00,3700.30,596.00
636.00,3649.20,600.30
716.00,3757.60,684.00
692.00,3646.20,673.10
628.00,3750.90,595.20
624.00,3681.30,594.50
636.00,3568.50,601.30
652.00,3733.50,621.80
712.00,3792.30,685.10
616.00,3597.70,592.60
644.00,3595.60,607.50
624.00,3600.80,591.20
648.00,3527.20,616.70
636.00,3607.50,598.10
676.00,3529.10,648.10
644.00,3569.60,619.80
748.00,3596.10,723.10
628.00,3580.10,609.60
624.00,3573.10,595.60
632.00,3557.40,599.30
628.00,3617.30,598.90
640.00,3553.60,600.30
744.00,3606.10,713.70
628.00,3548.60,596.70
612.00,3572.00,590.80
692.00,3619.50,661.40
628.00,3644.40,598.00
660.00,3668.30,622.30
660.00,3568.00,631.40
636.00,3590.00,600.50
656.00,3665.20,623.70
644.00,3661.60,624.80
656.00,3752.20,624.70
652.00,3836.10,626.40
644.00,3970.50,611.70
672.00,3536.00,643.50
688.00,4036.40,666.40
644.00,3670.90,618.20
748.00,4031.80,723.70
628.00,3654.00,605.60
652.00,3675.60,626.40
684.00,3625.70,657.80
640.00,3580.70,611.50
640.00,3754.60,608.60
676.00,3646.50,639.10
664.00,3727.30,631.20
636.00,3686.30,609.90
628.00,3675.50,601.50
796.00,3675.80,768.10
648.00,3721.00,614.80
668.00,3648.70,637.10
676.00,3924.90,638.90
644.00,3645.00,612.30
708.00,3937.50,679.60
696.00,3916.50,661.60
700.00,3692.10,673.80
672.00,3988.60,642.50
664.00,3674.80,632.10
644.00,3694.00,609.10
628.00,3647.70,600.70
644.00,3593.90,608.40
632.00,3579.90,598.20
908.00,3539.50,881.20
844.00,3811.10,809.90
660.00,3793.00,624.00
712.00,3937.60,676.80
604.00,3540.60,569.20
612.00,3828.40,587.20
684.00,3533.50,651.90
632.00,3490.30,602.90
600.00,3506.30,565.10
760.00,3830.60,735.30
724.00,3608.20,703.00
604.00,3493.30,581.60
592.00,3583.80,565.80
656.00,3593.30,621.00
620.00,3513.90,601.80
592.00,3644.20,565.60
740.00,4479.90,708.40
652.00,3641.50,628.00
600.00,3539.40,572.80
592.00,3547.50,562.40
640.00,3716.30,620.00
660.00,3695.10,623.40
688.00,4147.00,654.50
616.00,3883.30,582.20
668.00,3420.40,639.00
596.00,3464.00,568.20
616.00,3513.50,581.10
604.00,3471.60,577.90
708.00,3469.20,682.30
600.00,3462.20,568.80
592.00,3468.00,571.80
588.00,3634.70,561.40
624.00,3617.50,591.10
596.00,3599.50,569.40
628.00,3498.90,594.20
728.00,3573.30,698.50
612.00,3565.20,585.70
628.00,3588.30,605.60
640.00,3660.90,613.70
608.00,3562.30,570.90
608.00,3561.80,582.80
636.00,3578.00,611.30
628.00,3551.80,594.80
696.00,3786.90,667.20
656.00,3860.70,627.30
616.00,3610.20,594.20
644.00,3768.70,615.90
660.00,3716.20,625.40
600.00,3709.90,580.50
720.00,3827.40,678.30
644.00,3781.40,613.40
624.00,5442.10,599.50
692.00,3709.50,671.40
632.00,3978.40,610.10
612.00,4669.30,590.80
692.00,3938.00,667.10
640.00,3960.20,610.50
616.00,5064.90,592.90
708.00,3732.20,635.40
688.00,5106.50,665.20
688.00,3872.00,658.00
744.00,4830.00,718.20
692.00,3777.80,668.60
652.00,3841.50,613.80
680.00,3866.30,655.80
656.00,3949.00,634.20
712.00,3972.60,674.90
684.00,4386.90,659.80
760.00,4555.30,722.70
756.00,3832.10,732.10
788.00,4594.90,762.70
672.00,4022.80,650.10
624.00,3686.10,599.90
816.00,4055.30,788.20
704.00,3760.20,683.10
640.00,4469.60,619.70
660.00,3751.30,634.20
