FCP ,TTI ,plt
640.00,3554.80,605.30
680.00,3669.60,648.30
540.00,3629.10,509.20
656.00,3601.50,630.70
532.00,3484.00,506.60
532.00,3565.20,507.90
544.00,3477.90,509.70
688.00,3641.90,665.10
584.00,3502.60,548.40
552.00,3520.30,525.50
564.00,3422.90,531.00
548.00,3665.60,518.60
580.00,3495.50,561.20
564.00,4029.20,535.60
584.00,3650.10,556.00
564.00,3338.10,536.40
564.00,3451.70,536.40
660.00,3525.10,625.80
580.00,3595.10,542.40
688.00,3423.10,648.90
608.00,3356.10,572.00
568.00,3422.30,532.60
596.00,3606.90,561.10
844.00,4146.60,801.50
720.00,3384.40,676.30
696.00,3664.90,655.40
684.00,3453.40,645.40
644.00,3333.80,598.80
644.00,3409.90,611.90
592.00,3384.00,573.20
676.00,3298.90,652.90
604.00,3234.70,582.80
608.00,3343.60,578.40
636.00,3234.00,609.50
572.00,3196.80,546.30
576.00,3353.30,551.60
552.00,3194.70,529.80
716.00,3595.30,682.70
584.00,3229.50,549.10
672.00,3372.40,633.70
712.00,3876.90,683.50
596.00,3330.80,572.60
664.00,3364.80,637.50
584.00,3256.90,551.10
580.00,3285.30,549.60
568.00,3418.40,541.30
560.00,3322.00,537.40
588.00,3265.10,554.70
536.00,3333.50,510.90
556.00,3279.70,520.10
588.00,3257.40,543.50
568.00,3186.70,533.70
556.00,3279.60,532.50
604.00,3228.60,567.80
764.00,3312.50,737.60
560.00,3298.50,537.70
584.00,3390.00,550.60
556.00,3295.70,541.50
576.00,3148.40,540.40
628.00,3222.40,599.90
552.00,3265.20,518.30
544.00,3200.80,523.20
572.00,3214.00,543.60
704.00,3767.20,679.00
588.00,3134.30,550.80
560.00,3193.30,526.00
544.00,3213.90,514.70
552.00,3216.50,516.00
548.00,3167.00,521.40
544.00,3194.80,513.80
556.00,3182.40,534.20
552.00,3249.40,516.40
544.00,3227.40,520.70
560.00,3257.60,531.00
532.00,3177.20,514.90
540.00,3202.40,508.70
556.00,3221.70,534.90
552.00,3196.90,528.80
668.00,3707.70,638.60
564.00,3183.50,534.90
544.00,3179.50,514.60
580.00,3166.70,543.00
548.00,3235.90,514.90
544.00,3246.50,522.50
576.00,3292.50,553.90
576.00,3283.50,541.30
528.00,3479.00,504.70
520.00,3328.20,503.20
556.00,3307.40,520.70
540.00,3251.00,515.80
544.00,3284.40,515.60
552.00,3308.30,527.10
536.00,3351.10,505.80
536.00,3309.80,514.50
532.00,3301.10,514.70
524.00,3240.30,504.70
528.00,3288.00,504.50
548.00,3301.20,518.20
540.00,3282.60,517.20
764.00,3758.20,736.70
564.00,3237.50,535.00
540.00,3397.80,508.50
536.00,3462.70,510.30
560.00,3386.10,525.30
600.00,3323.40,576.20
568.00,3256.80,550.70
512.00,3319.30,484.50
516.00,3316.80,496.50
624.00,3432.60,608.50
524.00,3348.10,503.40
524.00,3323.10,496.70
544.00,3266.30,514.30
616.00,3374.40,586.80
508.00,3340.50,482.80
504.00,3370.10,483.20
640.00,3373.50,606.30
528.00,3386.90,506.00
632.00,3477.70,608.70
528.00,3282.20,505.10
528.00,3338.10,503.10
516.00,3436.10,495.40
528.00,3420.30,512.60
524.00,3413.00,492.60
624.00,3445.20,596.70
524.00,3445.30,501.40
532.00,3373.20,502.10
644.00,3513.10,612.60
540.00,3351.40,514.80
540.00,3325.60,518.10
520.00,3446.60,503.30
528.00,3409.60,500.70
524.00,3396.30,495.00
508.00,3421.60,488.10
568.00,3502.50,537.90
540.00,3428.00,510.20
556.00,3355.80,526.60
540.00,3517.70,505.00
528.00,3457.90,503.60
520.00,3294.90,495.20
632.00,3194.30,594.90
548.00,3199.00,522.30
556.00,3318.70,521.10
540.00,3286.60,516.90
548.00,3148.20,511.10
648.00,3257.50,616.90
728.00,3365.00,691.90
540.00,3347.50,514.10
560.00,3336.40,531.00
656.00,3304.50,630.80
576.00,3322.20,545.50
548.00,3421.40,524.50
672.00,3291.40,637.20
552.00,3252.60,517.60
584.00,3503.90,549.60
580.00,3601.80,545.60
544.00,3270.60,520.30
560.00,3350.90,535.50
560.00,3314.30,534.10
600.00,3311.50,562.80
576.00,4111.20,538.10
560.00,3260.90,534.30
648.00,3347.80,624.60
568.00,3574.40,532.70
568.00,3437.90,537.70
548.00,3548.50,524.70
560.00,3320.90,525.60
692.00,3414.70,666.30
656.00,3401.00,623.40
564.00,3511.80,537.70
548.00,3455.90,529.00
568.00,3226.10,533.10
564.00,3648.70,536.80
648.00,3423.80,618.70
560.00,3486.30,537.50
580.00,3374.20,542.70
556.00,3465.70,536.60
656.00,3411.70,625.00
580.00,3361.30,555.90
572.00,3423.10,535.30
556.00,3341.40,526.30
568.00,3411.00,528.30
584.00,3321.10,558.10
564.00,3301.50,534.40
580.00,3296.90,547.10
552.00,3451.30,523.40
548.00,3292.50,523.60
560.00,3255.10,533.90
588.00,3374.80,555.40
568.00,3544.70,539.80
568.00,3424.10,542.50
560.00,3271.20,526.90
564.00,3306.60,527.70
608.00,3428.40,576.10
652.00,3413.30,612.70
560.00,3347.00,531.20
576.00,3271.80,538.30
580.00,3310.00,544.50
616.00,3298.70,581.30
556.00,3326.30,534.70
556.00,3483.60,524.70
632.00,3446.70,609.40
560.00,3544.80,538.60
652.00,3542.60,627.60
612.00,3372.20,577.30
580.00,3502.70,549.90
572.00,3440.80,538.30
564.00,3456.00,540.90
624.00,3725.00,598.60
664.00,3379.00,633.60
580.00,3589.40,535.10
572.00,3395.40,541.20
568.00,3410.40,532.90
564.00,3445.00,531.90
656.00,3434.30,620.10
580.00,3301.90,551.00
560.00,3375.90,530.90
572.00,3461.10,539.10
584.00,3722.30,563.10
568.00,3418.90,538.00
572.00,3693.70,551.00
572.00,3476.60,541.10
568.00,3481.90,544.50
584.00,3637.80,555.30
668.00,3350.60,630.70
564.00,3519.00,535.80
564.00,3421.30,531.70
556.00,3357.30,526.50
560.00,3563.60,526.20
576.00,3411.70,544.50
564.00,3450.20,535.30
568.00,3845.50,544.90
576.00,3385.70,543.70
596.00,3432.20,563.00
556.00,3685.80,532.90
3072.00,805.20,564.90
572.00,3466.80,545.00
620.00,3682.50,579.40
564.00,3384.90,535.10
656.00,3251.50,629.50
536.00,3268.40,513.80
556.00,3250.50,530.80
540.00,3468.90,518.80
540.00,3336.70,514.00
528.00,3482.80,494.40
620.00,3250.90,588.80
560.00,3267.60,524.90
556.00,3267.90,526.80
544.00,3292.80,516.90
