FCP ,TTI ,plt
520.00,597.80,482.80
520.00,653.10,491.40
480.00,598.00,451.50
472.00,654.00,446.00
496.00,640.30,468.90
488.00,642.80,468.50
496.00,585.50,465.30
492.00,610.90,459.80
476.00,587.70,447.20
500.00,726.00,476.10
472.00,618.50,451.00
472.00,671.40,455.00
484.00,626.80,456.40
472.00,671.20,449.20
476.00,611.70,447.20
480.00,637.30,455.20
488.00,606.80,460.20
484.00,640.10,467.30
492.00,619.00,458.80
480.00,628.50,452.90
480.00,601.10,449.80
556.00,661.70,520.30
472.00,601.40,445.40
460.00,597.00,439.20
480.00,641.50,453.60
476.00,608.50,459.70
492.00,641.90,460.70
492.00,637.80,461.30
464.00,752.00,446.20
496.00,626.00,459.10
484.00,647.30,453.40
504.00,627.10,479.00
480.00,625.80,459.20
476.00,646.10,451.50
476.00,637.50,451.40
480.00,593.30,453.50
492.00,765.00,461.70
500.00,609.60,470.90
480.00,614.10,456.80
484.00,587.00,452.70
492.00,695.30,460.90
504.00,651.60,473.60
476.00,644.60,456.30
480.00,604.00,458.20
476.00,629.40,445.50
500.00,617.20,467.70
552.00,682.30,526.80
476.00,621.00,444.30
476.00,602.20,445.30
484.00,801.30,457.00
480.00,651.80,459.40
484.00,780.80,462.50
484.00,611.70,457.50
488.00,682.20,454.30
484.00,622.10,457.10
476.00,606.80,453.60
484.00,607.90,453.70
484.00,616.40,456.10
484.00,627.90,448.50
488.00,671.00,459.50
492.00,598.90,459.90
492.00,600.10,454.80
492.00,837.60,456.00
488.00,742.10,457.80
480.00,620.80,451.00
496.00,624.70,465.10
492.00,646.40,464.60
488.00,756.40,459.90
464.00,630.30,446.60
480.00,798.30,458.80
544.00,675.00,506.70
464.00,613.10,443.40
492.00,611.90,465.10
492.00,590.00,457.80
488.00,634.30,451.40
480.00,635.70,447.20
564.00,647.00,525.50
472.00,651.10,447.40
460.00,614.10,444.40
492.00,618.00,458.50
480.00,652.00,456.40
492.00,597.70,458.90
480.00,788.00,451.30
480.00,622.90,458.40
492.00,610.10,469.90
496.00,607.60,470.00
480.00,628.90,460.30
480.00,625.10,456.60
472.00,628.20,449.70
492.00,613.70,473.50
496.00,585.70,468.60
468.00,637.60,448.20
476.00,665.00,452.40
564.00,690.90,524.10
476.00,594.00,443.80
472.00,615.40,446.10
484.00,620.30,452.10
476.00,606.90,454.30
488.00,597.60,457.40
532.00,661.70,512.60
604.00,759.90,515.10
636.00,699.40,612.70
512.00,789.40,480.80
552.00,592.90,523.20
556.00,767.60,534.20
600.00,714.10,573.00
492.00,615.20,466.60
500.00,649.60,473.70
500.00,606.40,482.80
504.00,621.90,468.50
496.00,639.20,469.30
484.00,640.40,461.30
512.00,643.10,489.60
516.00,814.00,482.50
512.00,604.60,478.50
504.00,762.50,475.90
580.00,798.90,537.40
