FCP ,TTI ,plt
552.00,3000.40,525.30
544.00,3268.20,524.20
532.00,3149.40,505.50
528.00,3364.60,500.80
540.00,3226.60,507.60
544.00,3228.30,522.00
532.00,3144.40,505.30
528.00,3143.60,502.80
540.00,3210.90,509.80
528.00,3096.40,503.50
556.00,3179.30,524.20
528.00,3115.10,494.60
540.00,3143.40,508.80
536.00,3187.90,516.90
560.00,3149.60,530.90
608.00,3071.70,502.50
532.00,3310.90,502.00
532.00,3155.80,505.90
544.00,3319.20,517.30
536.00,3137.50,502.20
524.00,3164.20,499.00
540.00,3282.90,515.20
740.00,3372.00,707.40
532.00,3147.40,512.90
544.00,3250.20,510.00
564.00,3439.80,530.40
524.00,3134.30,489.60
548.00,3135.50,514.20
552.00,3379.60,518.10
552.00,3370.00,518.50
556.00,3369.50,525.10
528.00,3152.50,497.50
552.00,3242.00,519.50
544.00,3153.70,512.70
528.00,3208.20,499.80
524.00,3221.50,501.50
536.00,3227.80,510.10
540.00,3208.70,504.80
564.00,3302.50,531.10
540.00,3607.40,506.00
528.00,3276.90,501.10
544.00,3351.00,516.80
544.00,3248.00,516.80
544.00,3206.90,505.50
516.00,3209.00,493.50
520.00,3189.00,498.50
552.00,3209.30,522.80
552.00,3266.60,524.60
528.00,3342.30,498.60
560.00,3408.70,541.50
588.00,3291.30,553.40
536.00,3293.50,511.10
548.00,3124.40,517.10
544.00,3075.70,526.20
592.00,3114.30,524.30
588.00,3293.40,557.60
692.00,3607.10,650.50
524.00,3415.30,493.70
528.00,3417.30,507.30
528.00,3207.40,494.60
648.00,3190.20,599.20
528.00,3144.60,499.90
504.00,3065.40,483.70
612.00,3000.00,507.90
512.00,3205.70,493.20
520.00,3067.50,491.70
504.00,3040.10,477.80
560.00,3239.40,527.30
536.00,3169.50,518.00
536.00,3088.80,497.20
548.00,3149.60,514.10
540.00,3171.50,507.70
560.00,3093.90,535.70
596.00,3191.10,568.70
572.00,3104.10,550.40
524.00,3078.30,498.70
556.00,3231.70,517.20
548.00,3186.90,526.10
528.00,3368.90,493.10
552.00,3224.60,527.40
544.00,3223.60,509.70
532.00,3336.70,509.20
532.00,3170.10,510.90
572.00,3260.50,545.40
532.00,3278.80,511.90
536.00,3161.20,503.90
512.00,3156.90,490.50
528.00,3228.40,501.90
540.00,3161.80,508.60
684.00,3148.70,520.30
560.00,3170.90,527.70
624.00,3323.20,528.60
660.00,3326.10,631.20
732.00,3272.30,695.00
608.00,3253.70,574.60
556.00,3124.50,519.20
528.00,3182.70,500.30
548.00,3120.40,511.10
544.00,3156.20,513.30
660.00,3157.80,625.80
548.00,3176.70,512.60
544.00,3163.60,515.60
556.00,3175.50,533.40
616.00,3406.30,579.10
540.00,3195.20,512.90
560.00,3216.80,522.70
636.00,3010.20,507.80
544.00,3252.50,520.60
632.00,3214.30,609.30
540.00,3161.20,509.40
628.00,3119.60,557.80
520.00,3151.30,493.00
548.00,3115.70,522.20
552.00,3149.90,534.10
628.00,3121.90,592.60
528.00,3120.90,501.70
536.00,3259.50,514.30
528.00,3200.60,496.80
552.00,3211.20,526.10
532.00,3212.20,507.20
652.00,3130.10,618.50
560.00,3136.00,528.70
520.00,3156.00,500.10
532.00,3081.70,498.10
720.00,3126.30,693.10
544.00,3126.90,517.20
572.00,3223.80,547.50
552.00,3174.30,526.00
560.00,3226.30,529.80
544.00,3179.30,508.10
568.00,3340.20,537.70
580.00,3263.20,554.60
544.00,3042.90,522.80
560.00,3185.40,530.90
624.00,3210.90,604.90
528.00,3133.70,505.90
532.00,3283.10,508.20
528.00,3194.10,500.00
548.00,3274.00,527.40
648.00,3429.30,618.40
544.00,3224.60,519.90
572.00,3348.10,542.20
544.00,3515.50,520.90
548.00,3231.10,525.00
512.00,3200.60,492.00
528.00,3239.00,507.20
568.00,3226.70,525.30
552.00,3204.90,521.10
676.00,3240.60,641.20
548.00,3121.00,519.70
520.00,3145.30,494.30
516.00,3181.30,498.10
532.00,3155.40,503.80
528.00,3197.30,497.00
556.00,3215.80,525.10
536.00,3247.00,513.20
536.00,3208.60,516.50
584.00,3342.30,552.30
524.00,3302.70,502.60
532.00,3094.20,509.50
544.00,3246.10,522.40
548.00,3198.20,524.60
544.00,3295.00,517.50
536.00,3135.50,505.90
552.00,3319.60,527.50
592.00,3284.70,556.10
596.00,3189.90,563.80
536.00,3196.30,500.80
556.00,3256.10,523.70
728.00,3252.30,688.00
624.00,3409.30,596.10
552.00,3164.40,523.20
524.00,3248.80,504.60
544.00,3206.80,513.60
532.00,3223.70,501.50
524.00,3164.90,488.60
516.00,3068.60,499.00
532.00,3136.70,503.30
544.00,3216.20,513.60
520.00,3170.60,496.70
512.00,3187.80,493.70
532.00,3273.40,505.30
564.00,3507.60,527.00
524.00,3259.70,503.90
528.00,3215.00,501.20
524.00,3139.80,503.50
532.00,3329.40,510.80
524.00,3175.90,507.40
560.00,3121.80,528.70
528.00,3150.50,498.70
532.00,3236.60,501.30
524.00,3061.10,510.40
544.00,3066.40,510.40
508.00,3023.10,486.30
556.00,3104.50,520.90
504.00,3071.80,479.90
560.00,3045.20,525.10
556.00,3081.60,520.60
516.00,3110.60,483.90
512.00,3091.50,491.70
548.00,3147.00,518.50
536.00,3145.80,512.60
520.00,3103.30,496.50
524.00,3155.50,492.10
