FCP ,TTI ,plt
636.00,3539.10,550.10
664.00,3655.40,554.70
660.00,3542.90,551.90
884.00,3732.60,724.00
716.00,3575.00,598.80
668.00,3624.20,563.20
680.00,3659.50,570.00
836.00,3881.50,708.70
676.00,3768.70,568.30
668.00,3782.60,560.10
708.00,3678.60,594.20
680.00,3646.10,576.10
684.00,3637.00,573.40
700.00,3757.60,593.90
808.00,3758.40,684.20
680.00,3617.60,578.00
676.00,3524.20,557.40
680.00,3613.40,568.80
784.00,3853.90,588.00
712.00,3666.30,591.90
764.00,3543.70,609.20
684.00,3635.00,574.40
716.00,3728.10,609.20
688.00,3716.10,585.90
668.00,3652.70,557.90
692.00,3872.40,588.20
676.00,3604.10,574.10
688.00,3788.90,571.20
696.00,3587.60,580.30
696.00,3667.90,576.40
676.00,3710.40,562.60
668.00,3703.30,560.60
812.00,3721.90,691.70
708.00,3627.00,589.90
648.00,3662.60,546.10
696.00,3647.70,565.60
708.00,4004.00,560.90
680.00,3619.60,577.80
668.00,3614.50,552.80
684.00,3435.20,566.70
680.00,3539.00,563.50
660.00,3965.70,558.90
680.00,3467.60,568.30
680.00,3838.90,565.90
696.00,3495.90,582.70
696.00,3615.70,558.60
672.00,3648.40,557.50
844.00,3890.30,729.60
712.00,3532.00,599.50
664.00,3574.50,553.60
668.00,3526.60,561.50
816.00,3686.00,691.10
692.00,3656.30,575.30
672.00,3558.90,562.70
676.00,3594.00,567.90
748.00,4042.40,567.00
696.00,3554.30,581.30
676.00,3748.20,572.50
668.00,3705.20,560.40
672.00,3635.00,562.00
712.00,3603.70,598.30
684.00,3935.80,572.40
720.00,3633.50,607.90
680.00,3695.00,568.30
692.00,3596.70,577.90
708.00,3587.70,593.10
680.00,3709.90,571.30
652.00,3607.40,549.20
696.00,3505.10,580.90
664.00,3674.80,562.70
656.00,3626.50,555.60
800.00,3766.50,683.60
736.00,3647.80,628.30
656.00,3718.90,551.70
688.00,3779.30,568.80
724.00,3648.00,604.00
664.00,3668.40,560.90
684.00,3689.40,567.20
708.00,3679.50,606.10
740.00,3662.60,600.20
684.00,3753.30,572.40
684.00,3661.70,583.40
688.00,3620.60,576.10
676.00,3681.30,566.60
680.00,3658.30,569.10
680.00,3669.80,566.80
684.00,3566.40,569.60
720.00,3669.00,611.90
684.00,3754.60,573.70
660.00,3746.00,557.70
692.00,3749.90,582.60
768.00,3791.00,644.50
676.00,3920.60,565.40
712.00,3721.90,592.90
676.00,3737.10,573.80
676.00,3791.00,565.00
708.00,3706.60,589.60
680.00,3695.60,564.10
692.00,3634.90,568.10
712.00,3624.00,590.90
716.00,3662.40,578.10
680.00,3782.50,571.30
708.00,4584.60,595.10
696.00,3610.80,582.90
680.00,3714.80,573.60
712.00,3501.00,590.70
684.00,3619.90,573.00
668.00,3716.00,563.00
704.00,3665.50,597.40
672.00,3788.00,567.90
684.00,3689.30,583.00
700.00,3606.40,588.10
704.00,3700.10,587.30
664.00,3688.80,561.80
680.00,3706.60,580.60
676.00,3671.50,571.30
6112.00,244.90,562.70
680.00,3453.90,568.40
680.00,3585.50,566.80
692.00,3624.10,585.60
676.00,3864.80,568.50
680.00,4080.40,561.60
684.00,3703.20,578.30
680.00,4042.50,572.90
676.00,3846.10,567.90
688.00,3919.60,582.50
680.00,4029.50,567.70
676.00,3739.30,573.20
680.00,3806.20,573.60
776.00,3812.40,667.00
736.00,3786.30,609.10
688.00,3862.10,574.30
696.00,3775.50,586.30
712.00,4139.50,585.00
688.00,3737.80,577.70
696.00,3928.30,582.50
736.00,3680.10,623.10
672.00,3687.00,561.60
684.00,3633.50,577.90
740.00,3804.60,618.90
672.00,4078.10,560.40
672.00,3651.20,560.80
728.00,3736.20,620.40
680.00,3647.70,579.20
672.00,3761.70,558.10
676.00,3753.20,572.50
672.00,3720.40,562.40
676.00,3676.70,566.30
680.00,3661.70,562.90
688.00,3791.10,576.50
692.00,4122.50,576.80
684.00,4075.40,572.60
688.00,3731.70,579.00
696.00,3655.70,580.80
680.00,3695.00,571.40
672.00,3771.30,570.00
684.00,3829.00,577.00
684.00,3797.20,578.60
700.00,3669.60,577.20
824.00,3521.90,676.20
656.00,3618.30,548.80
660.00,3644.80,550.80
672.00,3972.90,554.70
700.00,3811.30,593.60
680.00,3663.30,569.00
656.00,4200.80,551.20
724.00,3605.10,590.30
700.00,3712.40,581.40
680.00,4670.90,574.20
784.00,4122.80,684.70
676.00,3758.10,562.00
696.00,3781.40,589.10
700.00,3651.30,592.60
680.00,3698.30,576.80
704.00,3547.90,571.40
824.00,3774.20,693.60
672.00,3692.10,569.20
684.00,4151.50,569.40
676.00,4218.70,563.80
672.00,3685.10,562.60
688.00,3669.60,579.00
688.00,3639.50,577.20
708.00,4080.30,597.20
716.00,3794.30,598.60
692.00,3744.70,571.00
772.00,3782.50,662.60
728.00,3839.00,605.90
688.00,4142.70,569.80
684.00,4115.60,570.60
708.00,4217.20,591.30
716.00,3801.40,587.80
680.00,3719.20,566.80
692.00,3695.50,588.40
704.00,3642.80,583.30
700.00,4241.90,592.70
704.00,3699.10,587.10
664.00,3710.40,557.50
700.00,3756.50,563.90
700.00,3355.30,585.10
4048.00,211.20,534.30
716.00,3689.00,594.60
664.00,3608.60,562.60
680.00,3670.00,565.30
684.00,3594.50,565.30
656.00,3617.10,555.30
652.00,3581.10,553.80
672.00,3776.40,566.00
704.00,3991.30,581.80
652.00,3658.70,548.10
664.00,3762.60,562.40
692.00,3716.10,573.50
692.00,3702.80,574.10
676.00,3715.30,561.60
672.00,3570.20,550.00
668.00,3538.90,559.40
656.00,3654.80,550.10
648.00,3574.20,544.90
676.00,3670.70,574.10
672.00,3626.90,567.40
656.00,3570.40,555.50
796.00,3677.10,676.70
676.00,3595.20,564.70
684.00,3565.10,566.40
712.00,3678.20,600.70
672.00,3679.50,565.40
704.00,3733.40,581.00
840.00,3684.40,702.20
692.00,3748.40,577.50
688.00,3612.60,574.90
732.00,3779.30,617.10
696.00,4061.70,579.70
712.00,3697.90,606.60
724.00,3958.90,619.60
684.00,3716.50,578.40
684.00,3784.90,563.60
816.00,4272.80,700.40
692.00,3711.50,580.30
700.00,4124.30,587.20
688.00,3659.90,574.30
668.00,3892.10,562.60
676.00,3842.70,569.10
740.00,4375.40,595.20
844.00,4257.90,721.70
700.00,4029.30,590.70
804.00,3802.80,689.70
720.00,3678.70,607.70
688.00,3734.30,577.20
692.00,3921.90,576.80
716.00,3830.50,588.90
716.00,3642.60,592.40
