FCP ,TTI ,plt
728.00,3741.50,604.90
684.00,3579.50,569.00
812.00,3858.70,695.50
708.00,3643.20,590.40
776.00,3642.10,645.40
696.00,4026.90,577.70
688.00,3598.00,574.40
864.00,3730.60,733.10
684.00,3602.20,567.30
724.00,3579.30,611.00
744.00,3610.80,631.80
692.00,3584.40,582.50
712.00,3545.20,601.00
688.00,3567.90,571.00
892.00,3598.30,767.50
668.00,3613.20,560.20
724.00,3601.90,590.40
716.00,3625.40,599.40
692.00,3723.60,582.00
716.00,3720.50,597.30
684.00,4010.50,570.40
708.00,3605.40,592.00
692.00,3643.90,585.00
692.00,3595.50,575.00
768.00,3649.00,635.00
684.00,3542.30,569.60
704.00,3619.50,591.80
680.00,3590.00,574.10
704.00,3610.70,589.30
692.00,3561.70,577.20
688.00,3602.30,569.00
700.00,3548.90,581.50
688.00,3599.30,576.30
708.00,3594.30,588.10
676.00,3568.20,571.70
680.00,3583.00,565.40
692.00,3621.30,576.70
688.00,3625.80,577.70
704.00,3732.20,591.10
764.00,3647.80,646.70
688.00,3556.20,568.20
680.00,3548.50,571.60
700.00,3543.40,584.00
696.00,3546.60,590.10
692.00,3591.10,570.80
692.00,3632.00,578.00
684.00,3829.20,571.40
688.00,3461.90,582.50
688.00,3454.50,574.70
696.00,3590.70,581.70
808.00,3564.10,696.40
676.00,3487.60,562.30
684.00,3481.60,573.10
684.00,3583.00,567.40
832.00,3573.40,710.10
708.00,3557.90,588.90
688.00,3507.90,581.60
772.00,3617.40,663.40
708.00,3629.60,590.20
684.00,3575.10,564.30
700.00,3576.60,575.60
688.00,3485.70,581.80
704.00,3644.70,584.70
712.00,3703.90,577.90
700.00,3693.30,583.20
732.00,3682.20,616.70
696.00,3555.60,578.30
756.00,3661.10,640.40
716.00,3607.90,599.20
672.00,3619.50,568.70
688.00,3773.00,573.50
752.00,3733.30,640.40
672.00,3581.70,565.60
672.00,3643.50,557.10
684.00,3653.80,575.50
688.00,3649.00,580.10
708.00,3682.20,600.10
736.00,3676.40,614.80
696.00,4160.50,581.20
880.00,3885.50,717.90
672.00,3582.20,563.00
712.00,3577.30,594.30
800.00,3563.10,681.30
676.00,3619.30,569.40
680.00,3669.90,565.50
724.00,3498.90,604.70
664.00,3573.10,552.70
652.00,3524.80,547.80
684.00,3531.60,568.70
720.00,3570.70,588.40
668.00,3539.20,563.80
688.00,3610.70,587.10
676.00,3549.50,565.50
656.00,3697.90,555.40
700.00,3647.30,593.60
660.00,3671.20,552.80
724.00,3549.70,604.40
676.00,3587.90,563.90
680.00,3543.10,565.80
692.00,3571.10,582.50
672.00,3571.80,569.30
700.00,3550.00,582.50
672.00,3624.30,565.50
704.00,3596.90,574.90
672.00,3604.90,567.40
668.00,3570.30,559.10
688.00,3562.90,574.90
684.00,3582.60,567.60
672.00,3504.20,564.30
792.00,3578.10,672.00
700.00,3879.10,581.50
812.00,3846.50,693.80
676.00,3807.80,559.00
716.00,3620.50,585.60
780.00,3784.00,665.90
688.00,3615.50,575.30
680.00,3661.00,568.40
700.00,3592.60,592.00
764.00,3569.40,648.70
700.00,3588.30,584.30
