FCP ,TTI ,plt
580.00,3392.20,547.80
580.00,3371.60,552.50
712.00,3566.30,684.30
556.00,3477.80,524.70
568.00,3398.00,534.60
552.00,3441.50,528.00
556.00,3391.50,518.80
552.00,3447.20,515.80
552.00,3378.90,513.40
620.00,3636.70,590.40
548.00,3433.40,511.20
544.00,3418.60,514.60
572.00,3433.40,536.60
532.00,3376.40,501.80
532.00,3389.60,507.40
568.00,3463.30,545.80
548.00,3543.60,526.00
560.00,3608.10,529.30
576.00,3542.50,537.40
560.00,3565.00,525.40
576.00,3530.60,541.70
760.00,3655.20,718.60
556.00,3582.60,531.80
564.00,3527.80,539.00
600.00,3627.50,562.60
544.00,3561.50,522.10
556.00,3626.90,522.20
568.00,3726.20,539.50
560.00,3585.50,531.60
592.00,3814.00,558.40
564.00,3576.30,527.80
568.00,3608.40,533.00
576.00,3571.60,540.80
588.00,3553.60,559.20
584.00,3625.40,561.10
560.00,3473.50,524.60
624.00,3697.70,591.50
552.00,3580.50,526.60
564.00,3620.20,546.40
560.00,3554.60,526.90
556.00,3614.10,534.20
560.00,3632.00,535.60
572.00,3532.00,545.30
556.00,3553.00,526.50
580.00,3543.40,547.00
556.00,3616.50,523.10
564.00,3583.00,537.70
600.00,3517.80,569.20
680.00,3816.70,635.20
560.00,3883.00,531.60
584.00,3640.50,556.20
580.00,3506.50,550.40
556.00,3500.90,522.40
572.00,3574.30,534.40
556.00,3559.60,527.40
576.00,3517.20,545.90
564.00,3508.30,526.00
564.00,3534.40,540.00
576.00,3610.40,546.10
568.00,3536.40,542.00
656.00,3594.80,625.10
552.00,3543.60,521.40
560.00,3600.50,539.50
564.00,3491.60,535.20
588.00,3549.50,551.30
560.00,3516.30,539.30
564.00,3629.10,538.50
568.00,3592.70,543.90
572.00,3638.20,552.00
612.00,3522.80,587.40
580.00,3577.30,547.40
564.00,3506.70,539.00
608.00,3536.30,584.80
568.00,3436.50,530.20
568.00,3505.20,545.00
576.00,3577.30,539.40
536.00,3469.10,505.30
560.00,3487.10,526.00
572.00,3522.00,541.60
560.00,3471.60,525.90
564.00,3652.00,539.40
552.00,3498.80,520.20
588.00,3572.70,557.50
556.00,3458.70,534.10
544.00,3492.80,521.40
780.00,3548.30,733.80
576.00,3474.30,534.30
556.00,3408.10,523.60
552.00,3372.20,516.40
564.00,3359.80,538.40
8960.00,194.70,469.60
568.00,3380.70,544.40
4144.00,194.40,509.20
596.00,3531.90,559.80
568.00,3507.80,529.90
568.00,3520.50,514.00
536.00,3493.10,502.20
4640.00,210.70,561.80
4544.00,156.60,518.70
4652.00,182.10,577.30
668.00,3567.20,641.90
4156.00,170.90,563.90
3864.00,155.10,544.60
576.00,3530.30,539.90
600.00,3158.90,562.40
1096.00,3530.70,717.30
636.00,3478.30,596.30
604.00,3579.30,573.80
584.00,3533.40,551.40
6308.00,145.20,511.70
612.00,3566.00,574.00
588.00,3506.90,548.40
596.00,3520.60,558.50
628.00,3425.20,592.10
548.00,3457.60,522.50
556.00,3495.40,526.40
548.00,3476.50,520.80
568.00,3647.60,537.40
560.00,3422.70,535.00
552.00,3581.20,533.30
560.00,3470.40,530.60
568.00,3402.80,545.30
564.00,3472.80,531.20
584.00,3452.40,553.00
584.00,3449.30,539.90
592.00,3431.70,557.00
564.00,3446.60,527.30
572.00,3561.00,544.80
564.00,3697.50,535.10
772.00,4023.60,736.90
580.00,3423.40,555.60
532.00,3488.60,509.40
572.00,3540.80,538.20
564.00,3546.20,537.40
672.00,3919.50,635.90
604.00,3537.90,564.90
580.00,3613.30,552.10
680.00,3836.90,658.00
588.00,3535.10,560.30
580.00,3500.30,544.00
564.00,3660.30,535.70
568.00,3633.10,542.60
544.00,3573.20,519.50
584.00,3577.50,555.80
568.00,4248.90,545.30
556.00,3556.90,532.40
576.00,3621.70,543.60
556.00,3560.20,527.70
596.00,3551.80,559.90
556.00,3464.10,524.80
560.00,3580.50,538.90
568.00,3484.70,541.30
576.00,3513.80,549.70
548.00,3511.90,523.10
552.00,3498.30,524.50
544.00,3508.20,519.70
568.00,3526.00,534.60
616.00,3492.80,583.40
552.00,3495.70,524.20
552.00,3521.80,530.60
580.00,3519.70,541.80
568.00,3640.40,534.50
560.00,3538.70,542.80
552.00,3532.80,517.90
544.00,3449.50,513.50
560.00,3532.30,531.30
560.00,3524.80,528.00
672.00,3500.90,626.30
556.00,3477.50,534.20
608.00,3438.20,573.90
560.00,3478.30,529.80
564.00,3596.90,532.50
552.00,3600.50,525.20
560.00,3522.00,530.60
556.00,3496.50,536.20
576.00,3519.60,541.50
588.00,3511.60,552.30
548.00,3516.60,516.90
572.00,3403.40,548.80
544.00,3499.10,508.90
528.00,3533.70,502.40
552.00,3393.90,519.30
604.00,3569.80,570.10
572.00,3459.90,533.40
564.00,3480.90,535.20
564.00,3531.20,534.90
568.00,3475.90,535.10
596.00,4334.80,570.40
576.00,3484.20,545.80
552.00,3521.30,513.60
556.00,3430.90,520.00
652.00,3569.50,610.70
556.00,3535.70,527.90
548.00,3533.10,524.80
560.00,3456.70,531.40
552.00,3506.80,525.10
568.00,3538.80,528.10
