FCP ,TTI ,plt
1588.00,3415.70,1552.40
1572.00,3504.10,1544.20
1576.00,3298.80,1551.40
1592.00,3206.80,1563.70
1568.00,3243.40,1551.10
1624.00,3389.60,1597.70
1672.00,3405.90,1595.30
6772.00,161.70,1635.40
1596.00,3379.20,1571.30
1640.00,6573.10,1619.70
1672.00,3175.70,1649.90
1548.00,3331.70,1522.20
1592.00,3211.00,1565.90
1560.00,3236.40,1536.40
1596.00,3217.30,1575.90
1536.00,3289.90,1519.30
1576.00,3369.30,1543.30
1580.00,3150.20,1550.50
1624.00,3192.30,1596.70
1732.00,3533.20,1696.20
1700.00,3334.30,1674.50
1612.00,3232.70,1578.80
1584.00,3199.20,1554.00
1612.00,3223.30,1585.60
1568.00,3206.90,1546.10
1564.00,3193.30,1542.10
1620.00,3409.90,1602.10
1620.00,3276.50,1597.90
1708.00,3208.10,1572.00
1616.00,3241.70,1593.20
1608.00,3215.30,1566.30
1616.00,3263.80,1586.80
1744.00,3410.70,1709.80
1588.00,3640.50,1563.30
1592.00,3582.40,1565.40
1624.00,3717.30,1609.10
1588.00,3785.30,1572.00
1600.00,3710.80,1575.00
1592.00,4112.00,1564.30
1640.00,4089.80,1608.40
1584.00,3567.70,1548.00
1644.00,3389.70,1578.90
1584.00,3586.20,1568.70
1592.00,3509.90,1568.10
1624.00,4316.10,1601.10
1596.00,3243.30,1570.30
1628.00,3238.60,1605.00
1568.00,3260.60,1537.80
1580.00,3182.70,1550.70
1600.00,3267.80,1580.00
