FCP ,TTI ,plt
600.00,3031.70,569.80
532.00,3078.20,498.60
572.00,3374.00,550.10
596.00,3267.20,561.70
552.00,3182.10,530.70
548.00,3141.70,510.70
516.00,3035.80,486.00
520.00,3302.40,498.90
512.00,2929.00,483.10
528.00,2946.80,495.80
516.00,2908.00,487.60
580.00,2987.70,549.50
532.00,2959.80,497.60
548.00,2926.30,515.30
576.00,3066.80,497.00
524.00,3177.60,493.10
764.00,3500.70,731.40
508.00,2957.30,478.80
516.00,2906.80,490.90
624.00,3304.40,595.10
560.00,3025.60,541.50
560.00,3063.90,530.10
572.00,3217.60,538.40
548.00,3510.20,515.90
508.00,2920.90,487.60
556.00,3119.70,522.20
528.00,2984.10,500.20
552.00,2988.00,516.00
560.00,2987.10,541.90
568.00,2968.20,540.00
668.00,3301.30,633.70
576.00,3179.10,549.90
576.00,3235.40,556.60
556.00,3287.40,530.70
552.00,3431.50,521.00
572.00,3457.00,545.60
544.00,3369.80,516.70
524.00,3134.30,503.50
516.00,3036.50,492.20
564.00,3233.10,530.10
508.00,2964.50,480.80
536.00,2891.60,498.20
560.00,3086.30,536.40
528.00,3167.80,495.00
540.00,3332.20,510.00
556.00,2974.80,525.50
516.00,2951.00,490.50
524.00,2950.10,498.00
572.00,3034.40,543.90
568.00,3307.60,543.30
