FCP ,TTI ,plt
588.00,3448.10,549.50
680.00,3456.30,656.10
616.00,3315.20,578.90
652.00,3388.50,587.20
588.00,3355.10,556.10
588.00,3400.80,551.30
612.00,3479.40,574.30
608.00,3346.60,557.50
604.00,3709.80,570.50
580.00,3710.20,549.30
556.00,3541.10,530.50
592.00,3352.80,559.80
560.00,3407.90,536.00
624.00,3457.10,592.70
584.00,3345.80,550.90
600.00,3367.70,563.00
572.00,3324.70,542.10
592.00,3317.60,554.40
588.00,3293.10,549.40
568.00,3293.80,540.00
580.00,3225.00,546.20
592.00,3298.50,564.20
588.00,3457.40,557.90
592.00,3285.10,562.40
596.00,3376.70,572.20
588.00,3310.80,550.30
592.00,3319.40,557.80
644.00,3367.70,615.10
572.00,3308.40,543.50
584.00,3304.30,549.20
568.00,3245.90,539.40
568.00,3380.50,537.20
572.00,3259.10,539.30
568.00,3256.00,535.40
576.00,3308.90,549.80
572.00,3276.50,538.60
580.00,3621.10,546.90
564.00,3301.90,539.20
560.00,3289.40,530.70
568.00,3348.40,541.10
588.00,3283.30,552.70
604.00,3362.20,575.90
592.00,3256.20,561.00
556.00,3388.00,528.60
904.00,3375.60,863.70
572.00,3287.20,546.60
584.00,3301.10,554.40
568.00,3423.00,542.10
576.00,3362.90,546.00
600.00,3307.10,567.80
