FCP ,TTI ,plt
1580.00,2990.90,1556.70
1504.00,2958.80,1480.30
1564.00,3061.90,1548.30
1516.00,3138.70,1490.30
1548.00,3364.40,1522.40
1584.00,3336.30,1550.20
1572.00,3273.20,1542.40
1580.00,3211.60,1557.50
1592.00,3672.30,1566.90
1548.00,3190.30,1520.20
1660.00,3183.60,1629.20
1560.00,3159.70,1540.20
1540.00,3229.90,1517.70
1544.00,3248.80,1525.80
1556.00,3006.60,1513.20
1592.00,2893.50,1505.90
1612.00,3142.90,1521.80
1556.00,3080.90,1506.00
1576.00,2871.60,1525.70
1580.00,2974.40,1520.30
1580.00,2949.90,1535.40
1560.00,2942.60,1533.60
1588.00,2903.50,1563.70
1592.00,2992.90,1559.30
1564.00,3149.00,1532.60
1548.00,3205.40,1528.70
1540.00,3138.60,1520.20
1536.00,2912.30,1506.80
1536.00,2936.00,1505.60
1516.00,2946.30,1490.70
1548.00,2968.20,1525.50
1592.00,2953.20,1562.30
1568.00,3013.80,1546.40
1560.00,3018.70,1540.30
1556.00,2970.90,1535.60
1568.00,2948.80,1537.30
1548.00,3030.80,1522.20
1544.00,3031.10,1519.80
1564.00,3144.40,1536.90
1552.00,3229.90,1524.90
1560.00,3118.30,1532.30
1540.00,2957.30,1519.60
1564.00,2942.60,1533.80
1540.00,2998.50,1516.30
1552.00,2993.80,1533.50
1584.00,3249.40,1550.80
1580.00,3316.10,1552.40
1564.00,3245.90,1537.00
1572.00,3204.90,1545.00
1576.00,3383.60,1542.90
