FCP ,TTI ,plt
1700.00,3932.50,1603.00
1660.00,3587.40,1576.70
1684.00,3633.20,1586.60
1696.00,3755.00,1607.30
1692.00,3656.30,1612.80
1676.00,3657.20,1580.40
1956.00,3776.90,1849.00
1732.00,3790.40,1640.30
1652.00,3638.20,1567.50
1644.00,3661.60,1569.60
1684.00,3595.30,1601.90
1732.00,3669.50,1593.90
1856.00,3368.60,1764.50
5244.00,307.00,1732.30
1980.00,4097.80,1598.50
1648.00,3956.40,1556.50
1836.00,3878.30,1744.10
1720.00,3638.20,1637.70
1676.00,3684.40,1588.30
1692.00,3549.60,1591.50
1744.00,3608.70,1650.50
1664.00,3808.00,1568.30
1808.00,3673.40,1702.30
1736.00,4090.10,1651.80
1676.00,3986.90,1590.70
1664.00,3860.40,1558.90
1700.00,3525.20,1606.00
1676.00,3593.80,1587.40
1644.00,3459.00,1550.80
1644.00,3530.30,1561.40
1648.00,3607.60,1565.80
1656.00,4138.60,1566.60
1704.00,3546.20,1598.70
1704.00,3891.10,1627.90
1664.00,3593.20,1574.20
1776.00,3614.90,1606.40
1724.00,3618.20,1576.00
1700.00,3866.20,1602.20
1712.00,4003.40,1616.20
1680.00,4010.50,1584.20
1772.00,3969.80,1673.80
1768.00,3834.40,1636.60
1684.00,4306.60,1594.40
1716.00,4260.90,1621.50
1724.00,4180.30,1622.50
1784.00,4155.90,1657.40
1888.00,3838.30,1773.60
1760.00,3983.30,1670.00
1720.00,3901.40,1621.10
1720.00,4310.80,1622.40
