FCP ,TTI ,plt
660.00,3500.70,568.60
636.00,3439.10,548.10
680.00,3416.60,528.20
628.00,3480.00,521.00
744.00,3837.40,651.50
688.00,3842.80,618.60
856.00,3658.70,738.90
732.00,3520.50,586.80
652.00,3605.10,567.50
660.00,3348.60,579.60
844.00,3442.70,729.20
644.00,3762.90,561.20
632.00,3352.40,538.60
624.00,3439.50,524.50
604.00,3500.80,524.30
600.00,3343.50,510.70
636.00,3415.60,548.10
644.00,3653.80,558.20
616.00,3467.70,531.40
668.00,3413.60,570.00
580.00,3272.20,503.40
672.00,3324.70,560.50
912.00,4337.70,773.20
692.00,4230.80,593.70
788.00,4351.80,688.00
668.00,3897.10,565.00
660.00,3758.10,579.60
700.00,3508.40,614.50
776.00,3502.30,624.20
632.00,3426.40,549.50
628.00,3377.30,543.50
652.00,4686.50,571.10
740.00,3882.00,585.30
704.00,3502.10,583.70
692.00,3556.10,592.80
668.00,3782.20,569.30
596.00,3606.50,515.30
824.00,4537.20,559.20
664.00,3363.40,573.00
700.00,3331.40,614.10
640.00,3344.80,547.30
628.00,3241.30,538.80
604.00,3280.10,513.20
604.00,3346.90,523.20
596.00,3249.00,503.80
652.00,3473.70,568.30
584.00,3196.20,504.70
588.00,3209.70,503.40
644.00,3363.50,555.10
596.00,3455.30,521.20
