FCP ,TTI ,plt
1024.00,0.00,44.50
64.00,70.50,37.60
636.00,3631.10,549.30
648.00,3790.10,557.10
640.00,3566.30,541.50
684.00,3799.30,591.20
684.00,3727.20,600.00
664.00,3596.60,576.40
692.00,3968.70,562.10
652.00,3510.70,572.80
656.00,3475.40,561.50
644.00,3521.00,561.10
660.00,3536.00,578.00
656.00,3638.80,568.80
648.00,3670.40,559.70
628.00,3919.00,544.70
656.00,3547.30,566.00
696.00,3494.10,597.10
632.00,3604.90,547.40
668.00,3504.20,581.90
660.00,3524.80,566.50
672.00,3470.60,580.30
644.00,3572.40,560.50
656.00,3628.00,566.60
656.00,3522.90,561.00
640.00,3759.00,549.40
624.00,3495.10,538.60
640.00,3881.10,559.00
672.00,3963.70,581.80
656.00,3960.30,569.30
648.00,3542.90,560.90
660.00,3608.90,566.50
656.00,3669.90,567.20
688.00,3716.50,589.90
652.00,3535.60,560.10
656.00,4351.40,560.60
672.00,4331.60,589.50
652.00,3613.20,570.90
676.00,3603.70,584.40
656.00,3677.90,573.20
648.00,3603.40,563.60
688.00,3600.00,598.90
672.00,4551.20,579.90
664.00,4450.30,576.10
656.00,4358.70,564.70
680.00,3536.10,599.50
676.00,3629.50,592.70
668.00,3759.80,581.40
676.00,3605.60,582.70
664.00,3645.80,575.40
